draftYear,categoryID,lastName,firstName,position,shootsCatches,heightIn,weightLbs,lastClub,lastLeague,birthDate,birthCity,birthStateProvince,birthCountry,midtermRank,finalRank
2025,1,Schaefer,Matthew,D,L,74,183,ERIE,OHL,2007-09-05,Hamilton,ON,CAN,1,1
2025,1,Misa,Michael,C,L,73,184,SAGINAW,OHL,2007-02-16,Oakville,ON,CAN,3,2
2025,1,Hagens,James,C,L,70,177,BOSTON COLLEGE,H-EAST,2006-11-03,Hauppauge,NY,USA,2,3
2025,1,O'Brien,Jake,C,R,74,172,BRANTFORD,OHL,2007-06-16,Whitby,ON,CAN,8,4
2025,1,Mrtka,Radim,D,R,77,202,SEATTLE,WHL,2007-06-09,Havlickuv Brod,,CZE,6,5
2025,1,Martone,Porter,RW,R,75,208,BRAMPTON,OHL,2006-10-26,Peterborough,ON,CAN,4,6
2025,1,Desnoyers,Caleb,C,L,74,178,MONCTON,QMJHL,2007-04-11,Saint-Hyacinthe,QC,CAN,7,7
2025,1,McQueen,Roger,C,R,77,197,BRANDON,WHL,2006-10-02,Saskatoon,SK,CAN,5,8
2025,1,Aitcheson,Kashawn,D,L,74,196,BARRIE,OHL,2006-09-21,Scarborough,ON,CAN,15,9
2025,1,Bear,Carter,LW,L,72,179,EVERETT,WHL,2006-11-04,Winnipeg,MB,CAN,11,10
2025,1,Martin,Brady,C,R,72,186,SAULT STE. MARIE,OHL,2007-03-16,Kitchener,ON,CAN,17,11
2025,1,Hensler,Logan,D,R,74,192,WISCONSIN,BIG10,2006-10-14,Woodbury,MN,USA,10,12
2025,1,Smith,Jackson,D,L,76,194,TRI-CITY,WHL,2007-05-13,Calgary,AB,CAN,9,13
2025,1,Lakovic,Lynden,LW,L,76,190,MOOSE JAW,WHL,2006-12-12,Kelowna,BC,CAN,12,14
2025,1,Nesbitt,Jack,C,L,76,185,WINDSOR,OHL,2007-01-12,Sarnia,ON,CAN,16,15
2025,1,Carbonneau,Justin,RW,R,73,191,BLAINVILLE-BOISBRIAND,QMJHL,2006-11-25,Levis,QC,CAN,13,16
2025,1,Spence,Malcolm,LW,L,73,203,ERIE,OHL,2006-09-22,Hamilton,ON,CAN,14,17
2025,1,Boumedienne,Sascha,D,L,74,176,BOSTON UNIVERSITY,H-EAST,2007-01-17,Oulu,,FIN,18,18
2025,1,Brzustewicz,Henry,D,R,74,203,LONDON,OHL,2007-02-09,Washington Township,MI,USA,19,19
2025,1,Cootes,Braeden,C,R,72,183,SEATTLE,WHL,2007-02-09,Sherwood Park,AB,CAN,21,20
2025,1,Kindel,Benjamin,C,R,70,176,CALGARY,WHL,2007-04-19,Coquitlam,BC,CAN,20,21
2025,1,Potter,Cullen,C,L,70,171,ARIZONA STATE,NCHC,2007-01-10,Minneapolis,MN,USA,22,22
2025,1,Reid,Cameron,D,L,72,193,KITCHENER,OHL,2007-04-08,St. Thomas,ON,CAN,27,23
2025,1,Horcoff,William,C,L,77,199,MICHIGAN,BIG10,2007-01-23,Edmonton,AB,CAN,28,24
2025,1,Reschny,Cole,C,L,70,183,VICTORIA,WHL,2007-04-06,Provost,AB,CAN,34,25
2025,1,Fiddler,Blake,D,R,76,209,EDMONTON,WHL,2007-07-09,Nashville,TN,USA,24,26
2025,1,West,Mason,C,R,78,215,EDINA,HIGH-MN,2007-08-03,Seattle,WA,USA,50,27
