draftID,draftYear,draftRounds
1,1989,12
2,1975,18
3,2008,7
4,2013,7
5,2006,7
6,1994,11
7,1982,12
8,1968,3
9,2018,7
10,1999,9
11,1973,12
12,1987,12
13,2004,9
14,2011,7
15,1992,11
16,1980,10
17,1966,4
18,1997,9
19,2016,7
20,1985,12
21,1971,15
22,2002,9
23,2009,7
24,1976,15
25,1990,12
26,1964,4
27,1978,22
28,1995,9
29,1969,10
30,1983,12
31,2014,7
32,2019,7
33,2000,9
34,1988,12
35,1974,25
36,2005,7
37,1993,11
38,2007,7
39,1981,11
40,1967,3
41,2012,7
42,1998,9
43,1986,12
44,2017,7
45,1972,11
46,2003,9
47,2010,7
48,1977,17
49,1963,4
50,1991,12
51,1965,2
52,1979,6
53,1996,9
54,1984,12
55,1970,14
56,2001,9
57,2015,7
58,2020,7
59,2021,7
60,2022,7
62,2023,7
63,2024,7
