seasonID,playerID,seasonType,statCategory,statValue
19171918,8450137,2,wins,12.0
19171918,8449817,2,wins,9.0
19171918,8449997,2,wins,9.0
19171918,8449841,2,wins,2.0
19171918,8450014,2,wins,1.0
19171918,8450137,2,shutouts,1.0
19171918,8449817,2,shutouts,1.0
19171918,8450137,2,goalsAgainstAverage,3.930591
19171918,8449997,2,goalsAgainstAverage,4.725389
19171918,8449817,2,goalsAgainstAverage,5.114975
19171918,8449997,3,wins,4.0
19171918,8450013,3,wins,2.0
19171918,8450137,3,wins,1.0
19171918,8450013,3,goalsAgainstAverage,3.6
19171918,8449997,3,goalsAgainstAverage,4.0
19171918,8450137,3,goalsAgainstAverage,5.0
19181919,8449817,2,wins,12.0
19181919,8450137,2,wins,10.0
19181919,8450014,2,wins,5.0
19181919,8449817,2,shutouts,2.0
19181919,8450137,2,shutouts,1.0
19181919,8449817,2,goalsAgainstAverage,2.854578
19181919,8450137,2,goalsAgainstAverage,4.268126
19181919,8450014,2,goalsAgainstAverage,5.094629
19181919,8450137,3,wins,6.0
19181919,8449997,3,wins,2.0
19181919,8449817,3,wins,1.0
19181919,8449997,3,shutouts,2.0
19181919,8450137,3,shutouts,1.0
19181919,8449997,3,goalsAgainstAverage,1.786335
19181919,8450137,3,goalsAgainstAverage,3.491206
19181919,8449817,3,goalsAgainstAverage,5.2
19191920,8449817,2,wins,19.0
19191920,8450137,2,wins,13.0
19191920,8450044,2,wins,6.0
19191920,8450017,2,wins,4.0
19191920,8449843,2,wins,3.0
19191920,8449817,2,shutouts,5.0
19191920,8449817,2,goalsAgainstAverage,2.66143
19191920,8450044,2,goalsAgainstAverage,4.337349
19191920,8450137,2,goalsAgainstAverage,4.65846
19191920,8450017,2,goalsAgainstAverage,5.837838
19191920,8449843,2,goalsAgainstAverage,7.109213
19191920,8449817,3,wins,3.0
19191920,8449997,3,wins,2.0
19191920,8449817,3,shutouts,1.0
19191920,8449817,3,goalsAgainstAverage,2.2
19191920,8449997,3,goalsAgainstAverage,3.0
19201921,8449817,2,wins,14.0
19201921,8450137,2,wins,13.0
19201921,8449918,2,wins,13.0
19201921,8450017,2,wins,6.0
19201921,8450044,2,wins,2.0
19201921,8449817,2,shutouts,2.0
19201921,8450017,2,shutouts,1.0
19201921,8450137,2,shutouts,1.0
19201921,8449817,2,goalsAgainstAverage,3.078326
19201921,8449918,2,goalsAgainstAverage,3.832662
19201921,8450137,2,goalsAgainstAverage,4.122137
19201921,8450017,2,goalsAgainstAverage,5.446106
19201921,8449817,3,wins,5.0
19201921,8450013,3,wins,2.0
19201921,8449817,3,shutouts,2.0
19201921,8449817,3,goalsAgainstAverage,1.714286
19201921,8450013,3,goalsAgainstAverage,2.4
19201921,8449918,3,goalsAgainstAverage,3.5
19211922,8449817,2,wins,14.0
19211922,8450137,2,wins,12.0
19211922,8450103,2,wins,11.0
19211922,8450017,2,wins,6.0
19211922,8450044,2,wins,2.0
19211922,8449817,2,shutouts,2.0
19211922,8449817,2,goalsAgainstAverage,3.342914
19211922,8450137,2,goalsAgainstAverage,3.840654
19211922,8450103,2,goalsAgainstAverage,4.074627
19211922,8450017,2,goalsAgainstAverage,4.388685
19211922,8450103,3,wins,4.0
19211922,8450013,3,wins,2.0
19211922,8450103,3,shutouts,2.0
19211922,8449817,3,shutouts,1.0
19211922,8450013,3,shutouts,1.0
19211922,8450103,3,goalsAgainstAverage,1.836014
19211922,8449817,3,goalsAgainstAverage,2.5
19211922,8450013,3,goalsAgainstAverage,3.149262
19221923,8449817,2,wins,14.0
19221923,8450103,2,wins,13.0
19221923,8450137,2,wins,13.0
19221923,8449918,2,wins,6.0
19221923,8449817,2,shutouts,4.0
19221923,8450137,2,shutouts,2.0
19221923,8450103,2,shutouts,1.0
19221923,8449817,2,goalsAgainstAverage,2.175957
19221923,8450137,2,goalsAgainstAverage,2.459677
19221923,8450103,2,goalsAgainstAverage,3.594282
19221923,8449918,2,goalsAgainstAverage,4.489796
19221923,8449817,3,wins,6.0
19221923,8450013,3,wins,1.0
19221923,8450137,3,wins,1.0
19221923,8449817,3,shutouts,3.0
19221923,8449817,3,goalsAgainstAverage,1.244469
19221923,8450150,3,goalsAgainstAverage,1.473799
19221923,8450137,3,goalsAgainstAverage,1.5
19221923,8450013,3,goalsAgainstAverage,2.5
19231924,8449817,2,wins,15.0
19231924,8450137,2,wins,13.0
19231924,8450103,2,wins,10.0
19231924,8449918,2,wins,9.0
19231924,8449990,2,wins,1.0
19231924,8449817,2,shutouts,3.0
19231924,8450137,2,shutouts,3.0
19231924,8450103,2,shutouts,1.0
19231924,8449918,2,shutouts,1.0
19231924,8450137,2,goalsAgainstAverage,1.973955
19231924,8449817,2,goalsAgainstAverage,1.99115
19231924,8449918,2,goalsAgainstAverage,2.75118
19231924,8450103,2,goalsAgainstAverage,3.478261
19231924,8450137,3,wins,6.0
19231924,8450137,3,shutouts,2.0
19231924,8450137,3,goalsAgainstAverage,1.0
19231924,8449817,3,goalsAgainstAverage,2.5
19231924,8450013,3,goalsAgainstAverage,2.5
19241925,8449918,2,wins,19.0
19241925,8450103,2,wins,19.0
19241925,8449856,2,wins,17.0
19241925,8450137,2,wins,17.0
19241925,8449817,2,wins,9.0
19241925,8449856,2,shutouts,7.0
19241925,8449918,2,shutouts,6.0
19241925,8450137,2,shutouts,5.0
19241925,8450120,2,shutouts,2.0
19241925,8449817,2,shutouts,2.0
19241925,8450137,2,goalsAgainstAverage,1.806452
19241925,8449918,2,goalsAgainstAverage,1.963333
19241925,8449817,2,goalsAgainstAverage,2.116115
19241925,8449856,2,goalsAgainstAverage,2.137902
19241925,8450103,2,goalsAgainstAverage,2.8
19241925,8450137,3,wins,3.0
19241925,8449997,3,wins,3.0
19241925,8450137,3,shutouts,1.0
19241925,8449997,3,goalsAgainstAverage,2.0
19241925,8450103,3,goalsAgainstAverage,2.5
