gameID,playerId,sweaterNumber,position,pim,toi,evenStrengthShotsAgainst,powerPlayShotsAgainst,shorthandedShotsAgainst,saveShotsAgainst,savePctg,evenStrengthGoalsAgainst,powerPlayGoalsAgainst,shorthandedGoalsAgainst,goalsAgainst,starter,shotsAgainst,saves
2003020497,8458568,30,G,0.0,58:53,18/19,4/4,0/1,22/24,0.916667,1.0,0.0,1.0,2.0,True,24.0,22.0
2003020497,8462161,35,G,,,,,,,,,,,,False,,
2003020497,8448382,31,G,0.0,59:54,20/20,3/4,1/1,24/25,0.96,0.0,1.0,0.0,1.0,True,25.0,24.0
2003020497,8459308,34,G,,,,,,,,,,,,False,,
2003020498,8445769,1,G,,,,,,,,,,,,False,,
2003020498,8462052,33,G,0.0,64:42,21/23,3/3,2/3,26/29,0.896552,2.0,0.0,1.0,3.0,True,29.0,26.0
2003020498,8460712,29,G,0.0,65:00,21/22,3/5,0/0,24/27,0.888889,1.0,2.0,0.0,3.0,True,27.0,24.0
2003020498,8462152,30,G,,,,,,,,,,,,False,,
2003020499,8458584,1,G,,,,,,,,,,,,False,,
2003020499,8469658,35,G,0.0,64:58,29/31,10/12,1/1,40/44,0.909091,2.0,2.0,0.0,4.0,True,44.0,40.0
2003020499,8467913,35,G,,,,,,,,,,,,False,,
2003020499,8460516,39,G,0.0,64:58,19/20,5/6,0/2,24/28,0.857143,1.0,1.0,2.0,4.0,True,28.0,24.0
2003020500,8469675,29,G,0.0,59:04,19/21,5/5,1/1,25/27,0.925926,2.0,0.0,0.0,2.0,True,27.0,25.0
2003020500,8462044,35,G,,,,,,,,,,,,False,,
2003020500,8460705,20,G,0.0,60:00,17/17,7/8,0/0,24/25,0.96,0.0,1.0,0.0,1.0,True,25.0,24.0
2003020500,8462117,35,G,,,,,,,,,,,,False,,
2003020501,8459140,35,G,0.0,65:00,20/21,0/0,1/1,21/22,0.954545,1.0,0.0,0.0,1.0,True,22.0,21.0
2003020501,8460715,47,G,,,,,,,,,,,,False,,
