id,season,gameType,gameNumber,gameDate,easternStartTime,gameStateId,venue,venueLocation,awayTeamId,awayTeamName,awayScore,awayShots,homeTeamId,homeTeamName,homeScore,homeShots,shootoutInUse,otInUse,gameOutcome,regPeriods
2024021225,20242025,2,1225,2025-04-06,2025-04-06T17:30:00,7,Little Caesars Arena,Detroit,13,Panthers,1,33,17,Red Wings,2,24,True,True,REG,3
2024021226,20242025,2,1226,2025-04-06,2025-04-06T18:00:00,7,KeyBank Center,Buffalo,6,Bruins,3,20,7,Sabres,6,37,True,True,REG,3
2024021227,20242025,2,1227,2025-04-06,2025-04-06T18:00:00,7,United Center,Chicago,5,Penguins,1,29,16,Blackhawks,3,31,True,True,REG,3
2024021228,20242025,2,1228,2025-04-06,2025-04-06T19:00:00,7,Bridgestone Arena,Nashville,8,Canadiens,2,17,18,Predators,1,37,True,True,REG,3
2024021229,20242025,2,1229,2025-04-06,2025-04-06T22:00:00,7,Rogers Arena,Vancouver,54,Golden Knights,3,35,23,Canucks,2,21,True,True,REG,3
2024021230,20242025,2,1230,2025-04-07,2025-04-07T19:00:00,7,Madison Square Garden,New York,14,Lightning,5,23,3,Rangers,1,39,True,True,REG,3
2024021231,20242025,2,1231,2025-04-07,2025-04-07T19:30:00,7,Canada Life Centre,Winnipeg,19,Blues,1,15,52,Jets,3,26,True,True,REG,3
2024021232,20242025,2,1232,2025-04-07,2025-04-07T22:30:00,7,Honda Center,Anaheim,22,Oilers,2,47,24,Ducks,3,21,True,True,REG,3
2024021233,20242025,2,1233,2025-04-07,2025-04-07T22:30:00,7,Crypto.com Arena,Los Angeles,55,Kraken,2,28,26,Kings,1,29,True,True,REG,3
2024021234,20242025,2,1234,2025-04-07,2025-04-07T22:30:00,7,SAP Center at San Jose,San Jose,20,Flames,3,32,28,Sharks,2,31,True,True,REG,3
2024021235,20242025,2,1235,2025-04-08,2025-04-08T19:00:00,7,KeyBank Center,Buffalo,12,Hurricanes,0,33,7,Sabres,3,18,True,True,REG,3
