season,seriesLetter,seriesLogo,neededToWin,length,gameId,gameNumber,gameDate,awayTeamId,awayTeamAbbrev,awayTeamScore,homeTeamId,homeTeamAbbrev,homeTeamScore,gameCenterLink,seriesStatusTopSeedWins,seriesStatusBottomSeedWins,fullCoverageURL,lastPeriodType,roundNumber,seriesLink,bottomSeedId,carousel_bottomSeedWins,topSeedId,carousel_topSeedWins
20202021,a,,4,7,2020030111,1,,2,NYI,4,5,PIT,3,/gamecenter/nyi-vs-pit/2021/05/16/2020030111,0,1,,OT,1,/schedule/playoff-series/2021/series-a/islanders-vs-penguins,2,4,5,2
20202021,a,,4,7,2020030112,2,,2,NYI,1,5,PIT,2,/gamecenter/nyi-vs-pit/2021/05/18/2020030112,1,1,,REG,1,/schedule/playoff-series/2021/series-a/islanders-vs-penguins,2,4,5,2
20202021,a,,4,7,2020030113,3,,5,PIT,5,2,NYI,4,/gamecenter/pit-vs-nyi/2021/05/20/2020030113,2,1,,REG,1,/schedule/playoff-series/2021/series-a/islanders-vs-penguins,2,4,5,2
20202021,a,,4,7,2020030114,4,,5,PIT,1,2,NYI,4,/gamecenter/pit-vs-nyi/2021/05/22/2020030114,2,2,,REG,1,/schedule/playoff-series/2021/series-a/islanders-vs-penguins,2,4,5,2
20202021,a,,4,7,2020030115,5,,2,NYI,3,5,PIT,2,/gamecenter/nyi-vs-pit/2021/05/24/2020030115,2,3,,OT,1,/schedule/playoff-series/2021/series-a/islanders-vs-penguins,2,4,5,2
20202021,a,,4,7,2020030116,6,,5,PIT,3,2,NYI,5,/gamecenter/pit-vs-nyi/2021/05/26/2020030116,2,4,,REG,1,/schedule/playoff-series/2021/series-a/islanders-vs-penguins,2,4,5,2
20202021,b,,4,7,2020030121,1,,6,BOS,2,15,WSH,3,/gamecenter/bos-vs-wsh/2021/05/15/2020030121,1,0,,OT,1,/schedule/playoff-series/2021/series-b/bruins-vs-capitals,6,4,15,1
20202021,b,,4,7,2020030122,2,,6,BOS,4,15,WSH,3,/gamecenter/bos-vs-wsh/2021/05/17/2020030122,1,1,,OT,1,/schedule/playoff-series/2021/series-b/bruins-vs-capitals,6,4,15,1
20202021,b,,4,7,2020030123,3,,15,WSH,2,6,BOS,3,/gamecenter/wsh-vs-bos/2021/05/19/2020030123,1,2,,OT,1,/schedule/playoff-series/2021/series-b/bruins-vs-capitals,6,4,15,1
20202021,b,,4,7,2020030124,4,,15,WSH,1,6,BOS,4,/gamecenter/wsh-vs-bos/2021/05/21/2020030124,1,3,,REG,1,/schedule/playoff-series/2021/series-b/bruins-vs-capitals,6,4,15,1
20202021,b,,4,7,2020030125,5,,6,BOS,3,15,WSH,1,/gamecenter/bos-vs-wsh/2021/05/23/2020030125,1,4,,REG,1,/schedule/playoff-series/2021/series-b/bruins-vs-capitals,6,4,15,1
20202021,c,,4,7,2020030131,1,,18,NSH,2,12,CAR,5,/gamecenter/nsh-vs-car/2021/05/17/2020030131,1,0,,REG,1,/schedule/playoff-series/2021/series-c/predators-vs-hurricanes,18,2,12,4
20202021,c,,4,7,2020030132,2,,18,NSH,0,12,CAR,3,/gamecenter/nsh-vs-car/2021/05/19/2020030132,2,0,,REG,1,/schedule/playoff-series/2021/series-c/predators-vs-hurricanes,18,2,12,4
20202021,c,,4,7,2020030133,3,,12,CAR,4,18,NSH,5,/gamecenter/car-vs-nsh/2021/05/21/2020030133,2,1,,OT,1,/schedule/playoff-series/2021/series-c/predators-vs-hurricanes,18,2,12,4
