playerID,game_id,homeRoad,opponent,team
8484152,2024021290,R,VAN,SJS
8484152,2024021177,R,LAK,SJS
8484152,2024021168,H,NYR,SJS
8484152,2024021152,H,TOR,SJS
8484152,2024021117,H,BOS,SJS
8484153,2024021302,R,WPG,ANA
8484153,2024021298,R,MIN,ANA
8484153,2024021284,H,COL,ANA
8484153,2024021259,R,LAK,ANA
8484153,2024021249,H,CGY,ANA
8484164,2024021248,R,EDM,STL
8484164,2024021121,H,NSH,STL
8484166,2024021312,H,NYI,CBJ
8484166,2024021295,R,PHI,CBJ
8484166,2024021281,R,WSH,CBJ
8484166,2024021270,H,WSH,CBJ
8484166,2024021253,H,BUF,CBJ
8484180,2024020158,R,UTA,CGY
8484180,2024020055,H,CHI,CGY
8484180,2024020040,R,EDM,CGY
8484180,2024020035,H,PHI,CGY
8484180,2024020009,R,VAN,CGY
8484186,2024030225,H,CAR,WSH
8484186,2024030224,R,CAR,WSH
8484186,2024030221,H,CAR,WSH
8484186,2024030135,H,MTL,WSH
8484186,2024030134,R,MTL,WSH
8484197,2024021293,R,OTT,CHI
8484197,2024021285,R,MTL,CHI
8484197,2024021271,H,WPG,CHI
8484197,2024021250,R,BOS,CHI
8484197,2024021240,R,PIT,CHI
8484210,2024021310,H,TBL,NYR
8484210,2024021287,R,FLA,NYR
8484210,2024021230,H,TBL,NYR
8484210,2024021209,R,NJD,NYR
8484210,2024021192,H,MIN,NYR
8484227,2024021306,H,EDM,SJS
8484227,2024021290,R,VAN,SJS
8484227,2024021283,R,CGY,SJS
8484227,2024021263,R,EDM,SJS
8484227,2024021247,R,MIN,SJS
8484241,2024021304,H,DAL,NSH
8484241,2024021288,H,UTA,NSH
8484241,2024021274,R,VGK,NSH
8484241,2024021257,R,UTA,NSH
8484241,2024021241,H,NYI,NSH
8484254,2023020265,H,SEA,VAN
8484254,2023020029,R,EDM,VAN
8484254,2023020009,H,EDM,VAN
8484255,2024020718,H,EDM,COL
8484255,2024020703,H,NYR,COL
8484256,2022020320,H,COL,NSH
8484256,2022021305,H,MIN,NSH
8484256,2022021282,R,CGY,NSH
8484256,2022021264,R,WPG,NSH
8484256,2022021250,H,CAR,NSH
8484258,2024030167,R,DAL,COL
8484258,2024030166,H,DAL,COL
8484258,2024030165,R,DAL,COL
8484258,2024030164,H,DAL,COL
8484258,2024030163,H,DAL,COL
8484259,2023020991,H,DET,COL
8484259,2023020188,H,NJD,COL
8484268,2024021305,H,VGK,VAN
8484268,2024021290,H,SJS,VAN
8484287,2023020336,H,ANA,VAN
8484293,2024020377,R,FLA,CAR
8484304,2024030314,H,CAR,FLA
8484304,2024030211,R,TOR,FLA
8484304,2024030125,R,TBL,FLA
8484304,2024030122,R,TBL,FLA
8484304,2024030121,R,TBL,FLA
8484312,2024021283,R,CGY,SJS
8484312,2024021263,R,EDM,SJS
8484312,2024021234,H,CGY,SJS
8484312,2024021221,H,SEA,SJS
8484312,2024021205,H,EDM,SJS
8484314,2023021295,R,BOS,OTT
8484314,2023021292,R,NYR,OTT
8484314,2023021276,H,MTL,OTT
8484314,2023021259,R,TBL,OTT
8484314,2023021241,R,FLA,OTT
8484321,2024030116,H,TOR,OTT
8484321,2024030115,R,TOR,OTT
8484321,2024030114,H,TOR,OTT
8484321,2024030113,H,TOR,OTT
8484321,2024030112,R,TOR,OTT
8484325,2023020767,H,NJD,TBL
8484325,2023020750,H,ARI,TBL
8484325,2023020720,R,DET,TBL
8484325,2023020706,R,BUF,TBL
8484325,2023020695,H,MIN,TBL
8484326,2023021001,H,MIN,ARI
8484387,2024021307,R,BUF,PHI
8484387,2024021295,H,CBJ,PHI
8484387,2024021276,R,OTT,PHI
8484387,2024021265,H,NYI,PHI
8484387,2024021246,R,NYR,PHI
8484406,2024021290,H,SJS,VAN
8484406,2024021273,H,MIN,VAN
8484783,2024021293,R,OTT,CHI
8484783,2024021285,R,MTL,CHI
8484783,2024021271,H,WPG,CHI
8484783,2024021250,R,BOS,CHI
8484783,2024021240,R,PIT,CHI
8484801,2024021306,H,EDM,SJS
8484801,2024021290,R,VAN,SJS
8484801,2024021283,R,CGY,SJS
8484801,2024021263,R,EDM,SJS
8484801,2024021247,R,MIN,SJS
8484829,2024020739,H,DET,DAL
8484829,2024020724,R,COL,DAL
8484829,2024020715,H,MTL,DAL
8484829,2024020595,H,BUF,DAL
8484829,2024020577,R,CHI,DAL
8484901,2024020780,R,OTT,TOR
8484910,2024021243,R,UTA,SEA
8484911,2024021234,H,CGY,SJS
8484911,2024021221,H,SEA,SJS
8484911,2024021205,H,EDM,SJS
8484911,2024021190,R,ANA,SJS
8484911,2024021177,R,LAK,SJS
8484929,2024021109,R,LAK,CAR
8484929,2024020878,H,UTA,CAR
8484929,2024020867,R,MIN,CAR
8484929,2024020832,H,LAK,CAR
8484929,2024020817,H,CHI,CAR
8484938,2024020673,R,MTL,DAL
8484938,2024020657,R,PHI,DAL
8484938,2024020643,R,NYR,DAL
8484938,2024020628,H,UTA,DAL
8484938,2024020608,H,OTT,DAL
8484958,2024021312,R,CBJ,NYI
8484958,2024021296,H,WSH,NYI
8484958,2024021277,R,NJD,NYI
8484958,2024021265,R,PHI,NYI
8484958,2024021254,H,NYR,NYI
8484976,2024021284,R,ANA,COL
8484976,2024021267,R,LAK,COL
8484976,2024020759,H,WPG,COL
8484976,2024020741,H,MIN,COL
8484976,2024020724,H,DAL,COL
8484984,2024030135,R,WSH,MTL
8484984,2024030134,H,WSH,MTL
8484984,2024030133,H,WSH,MTL
8484984,2024030132,R,WSH,MTL
8484984,2024030131,R,WSH,MTL
8485105,2024020440,R,NJD,COL
8485105,2024020415,R,CAR,COL
8485105,2024020397,R,BUF,COL
8485105,2024020385,H,EDM,COL
8485105,2024020255,H,LAK,COL
8485483,2024021295,H,CBJ,PHI
8485483,2024021276,R,OTT,PHI
8485483,2024021265,H,NYI,PHI
8485483,2024021246,R,NYR,PHI
8485483,2024021217,R,MTL,PHI
8485511,2024021306,R,SJS,EDM
8485511,2024021289,H,LAK,EDM
