playerID,seasonAssists,seasonGameTypeId,seasonGamesPlayed,seasonGoals,seasonLeagueAbbrev,seasonPIM,seasonPoints,seasonSeason,seasonTeamName,seasonWins,seasonLosses,seasonGAA,seasonSavePct,seasonOTLosses,seasonShotsAgainst,seasonShutouts,seasonGoalsAgainst,seasonTimeOnIce,seasonTies
8484151,0,2,8,0,HEO U14,0,0,20172018,Upper Canada Cyclones U14 AAA,,,,,,,,,,
8484151,19,2,28,2,HEO U14,24,21,20182019,Upper Canada Cyclones U14 AAA,,,,,,,,,,
8484151,4,3,7,0,HEO U14,2,4,20182019,Upper Canada Cyclones U14 AAA,,,,,,,,,,
8484151,9,2,24,4,ETAHL U15,42,13,20192020,Greater Kingston Frontenacs U15,,,,,,,,,,
8484151,4,2,42,0,OHL,59,4,20212022,Kingston Frontenacs,,,,,,,,,,
8484151,27,2,54,2,OHL,106,29,20222023,Kingston Frontenacs,,,,,,,,,,
8484151,0,2,3,0,WJC-18,0,0,20222023,Canada U18,,,,,,,,,,
8484151,29,2,58,6,OHL,120,35,20232024,Kingston Frontenacs,,,,,,,,,,
8484151,0,3,5,1,OHL,8,1,20232024,Kingston Frontenacs,,,,,,,,,,
8484151,41,2,66,8,OHL,100,49,20242025,Kingston Frontenacs,,,,,,,,,,
8484151,5,3,11,1,OHL,19,6,20242025,Kingston Frontenacs,,,,,,,,,,
8484152,0,2,2,0,WSI U12,0,0,20152016,MHC Vancouver Selects U12,,,,,,,,,,
8484152,1,2,4,0,QC Int PW,0,1,20162017,Burnaby Winter Club Bruins,,,,,,,,,,
8484152,0,2,1,0,CSSHL U16,2,0,20182019,Burnaby Winter Club U16 Prep,,,,,,,,,,
8484152,17,2,30,5,CSSHL U15,16,22,20182019,Burnaby Winter Club U15 Prep,,,,,,,,,,
8484152,1,3,3,2,CSSHL U15,0,3,20182019,Burnaby Winter Club U15 Prep,,,,,,,,,,
8484152,1,2,3,0,BCHL,0,1,20192020,Alberni Valley Bulldogs,,,,,,,,,,
8484152,4,2,6,1,CSSHL U18,2,5,20192020,Burnaby Winter Club U18 Prep,,,,,,,,,,
8484152,22,2,34,7,CSSHL U16,24,29,20192020,Burnaby Winter Club U16 Prep,,,,,,,,,,
8484152,1,3,2,0,CSSHL U16,0,1,20192020,Burnaby Winter Club U16 Prep,,,,,,,,,,
8484152,3,2,10,0,WHL,2,3,20202021,Portland Winterhawks,,,,,,,,,,
8484152,2,2,4,1,CSSHL U18,4,3,20202021,Burnaby Winter Club U18 Prep,,,,,,,,,,
8484152,27,2,63,9,WHL,12,36,20212022,Portland Winterhawks,,,,,,,,,,
8484152,2,3,11,1,WHL,6,3,20212022,Portland Winterhawks,,,,,,,,,,
8484152,47,2,67,17,WHL,46,64,20222023,Portland Winterhawks,,,,,,,,,,
8484152,6,3,9,1,WHL,10,7,20222023,Portland Winterhawks,,,,,,,,,,
8484152,72,2,65,18,WHL,34,90,20232024,Portland Winterhawks,,,,,,,,,,
8484152,10,3,13,3,WHL,16,13,20232024,Portland Winterhawks,,,,,,,,,,
8484152,2,2,6,0,NHL,8,2,20242025,San Jose Sharks,,,,,,,,,,
8484152,36,2,64,16,AHL,28,52,20242025,San Jose Barracuda,,,,,,,,,,
8484152,3,3,6,0,AHL,6,3,20242025,San Jose Barracuda,,,,,,,,,,
8484153,1,2,6,3,WSI U12,2,4,20152016,Sweden Selects U12,,,,,,,,,,
8484153,14,2,15,13,U16 Div.1,0,27,20172018,Färjestad BK U16 2,,,,,,,,,,
8484153,0,2,3,1,U16 SM,0,1,20182019,Färjestad BK U16,,,,,,,,,,
8484153,10,2,19,0,U16 Elit,8,10,20182019,Färjestad BK U16,,,,,,,,,,
8484153,0,2,2,1,U16 Div.1,0,1,20182019,Färjestad BK U16 2,,,,,,,,,,
8484153,0,2,2,0,J18 Elit,0,0,20192020,Färjestad BK J18,,,,,,,,,,
8484153,3,2,5,2,TV-Pucken,0,5,20192020,Värmland,,,,,,,,,,
8484153,1,2,3,0,U16 SM,2,1,20192020,Färjestad BK U16,,,,,,,,,,
8484153,9,2,15,8,U16 Elit,4,17,20192020,Färjestad BK U16,,,,,,,,,,
8484153,2,3,3,9,U16 Elit,4,11,20192020,Färjestad BK U16,,,,,,,,,,
8484153,5,2,19,4,J20 Nationell,12,9,20202021,Örebro HK J20,,,,,,,,,,
8484153,0,2,1,0,J18 Region,0,0,20202021,Örebro HK J18,,,,,,,,,,
8484153,6,2,35,3,SHL,4,9,20212022,Örebro HK,,,,,,,,,,
