,seasons,bracketLogos,seriesUrls,seriesLetters,playoffRounds,topSeedRanks,topSeedRankAbbrevs,topSeedWins,bottomSeedRanks,bottomSeedRankAbbrevs,bottomSeedWins,winningTeamIds,losingTeamIds,topSeedIDs,bottomSeedIDs
0,1918,,/schedule/playoff-series/1918/series-a/canadiens-vs-arenas,A,1,1,L2,1,2,L1,1,57,8,57,8
1,1918,,/schedule/playoff-series/1918/series-i/millionaires-vs-arenas,I,2,1,L2,3,2,PCHA1,2,57,7288,57,7288
2,1919,,/schedule/playoff-series/1919/series-a/senators(1917)-vs-canadiens,A,1,2,L2,4,1,L1,1,8,36,8,36
3,1919,,/schedule/playoff-series/1919/series-i/canadiens-vs-metropolitans,I,2,1,PCHA1,2,2,L2,2,,,7286,8
4,1920,,/schedule/playoff-series/1920/series-i/metropolitans-vs-senators(1917),I,2,1,L1,3,2,PCHA1,2,36,7286,36,7286
5,1921,,/schedule/playoff-series/1921/series-a/st.patricks-vs-senators(1917),A,1,1,L2,2,2,L1,0,36,58,36,58
6,1921,,/schedule/playoff-series/1921/series-i/senators(1917)-vs-millionaires,I,2,1,PCHA1,2,2,L2,3,36,7288,7288,36
7,1922,,/schedule/playoff-series/1922/series-a/senators(1917)-vs-st.patricks,A,1,2,L2,1,1,L1,0,58,36,58,36
8,1922,,/schedule/playoff-series/1922/series-i/millionaires-vs-st.patricks,I,2,1,L2,3,2,PCHA1,2,58,7288,58,7288
9,1923,,/schedule/playoff-series/1923/series-a/canadiens-vs-senators(1917),A,1,1,L1,1,2,L2,1,36,8,36,8
10,1923,,/schedule/playoff-series/1923/series-i/senators(1917)-vs-maroons,I,2,1,PCHA1,1,2,L1,3,36,7287,7287,36
11,1923,,/schedule/playoff-series/1923/series-m/senators(1917)-vs-eskimos,M,3,1,WCHL1,0,2,L1,2,36,7285,7285,36
12,1924,,/schedule/playoff-series/1924/series-a/senators(1917)-vs-canadiens,A,1,2,L2,2,1,L1,0,8,36,8,36
13,1924,,/schedule/playoff-series/1924/series-i/maroons-vs-canadiens,I,2,1,L2,2,2,PCHA1,0,8,7287,8,7287
14,1924,,/schedule/playoff-series/1924/series-m/tigers-vs-canadiens,M,3,1,L2,2,2,WCHL1,0,8,7284,8,7284
15,1925,,/schedule/playoff-series/1925/series-a/st.patricks-vs-canadiens,A,1,3,L3,2,2,L2,0,8,58,8,58
16,1925,,/schedule/playoff-series/1925/series-m/canadiens-vs-cougars,M,3,1,WCHL1,3,2,L3,1,7289,8,7289,8
17,1926,,/schedule/playoff-series/1926/series-a/maroons-vs-pirates,A,1,3,L3,0,2,L2,1,43,38,38,43
18,1926,,/schedule/playoff-series/1926/series-i/senators(1917)-vs-maroons,I,2,2,L2,1,1,L1,0,43,36,43,36
19,1926,,/schedule/playoff-series/1926/series-m/cougars-vs-maroons,M,3,1,L2,3,2,WCHL1,1,43,7289,43,7289
20,1927,,/schedule/playoff-series/1927/series-a/canadiens-vs-maroons,A,1,4,D3,0,3,D2,1,8,43,43,8
21,1927,,/schedule/playoff-series/1927/series-b/bruins-vs-blackhawks,B,1,6,D3,0,5,D2,1,6,16,16,6
22,1927,,/schedule/playoff-series/1927/series-i/senators(1917)-vs-canadiens,I,2,3,D2,0,1,D1,1,36,8,8,36
23,1927,,/schedule/playoff-series/1927/series-j/rangers-vs-bruins,J,2,5,D2,1,2,D1,0,6,3,6,3
24,1927,,/schedule/playoff-series/1927/series-m/senators(1917)-vs-bruins,M,3,5,D2,0,1,D1,2,36,6,6,36
25,1928,,/schedule/playoff-series/1928/series-a/maroons-vs-senators(1917),A,1,4,D3,0,2,D2,2,43,36,36,43
26,1928,,/schedule/playoff-series/1928/series-b/pirates-vs-rangers,B,1,5,D2,1,6,D3,1,3,38,3,38
27,1928,,/schedule/playoff-series/1928/series-i/canadiens-vs-maroons,I,2,2,D2,1,1,D1,0,43,8,43,8
28,1928,,/schedule/playoff-series/1928/series-j/bruins-vs-rangers,J,2,5,D2,1,3,D1,0,3,6,3,6
29,1928,,/schedule/playoff-series/1928/series-m/rangers-vs-maroons,M,3,2,D2,2,5,D2,3,3,43,43,3
30,1929,,/schedule/playoff-series/1929/series-a/canadiens-vs-bruins,A,2,2,D1,3,1,D1,0,6,8,6,8
31,1929,,/schedule/playoff-series/1929/series-b/rangers-vs-americans,B,1,5,D2,0,3,D2,1,3,44,44,3
32,1929,,/schedule/playoff-series/1929/series-c/mapleleafs-vs-cougars,C,1,6,D3,0,4,D3,2,10,40,40,10
33,1929,,/schedule/playoff-series/1929/series-d/mapleleafs-vs-rangers,D,2,3,D2,2,4,D3,0,3,10,3,10
34,1929,,/schedule/playoff-series/1929/series-i/rangers-vs-bruins,I,3,2,D1,2,3,D2,0,6,3,6,3
35,1930,,/schedule/playoff-series/1930/series-a/bruins-vs-maroons,A,2,5,D1,1,1,D1,3,6,43,43,6
36,1930,,/schedule/playoff-series/1930/series-b/canadiens-vs-blackhawks,B,1,3,D2,0,2,D2,1,8,16,16,8
37,1930,,/schedule/playoff-series/1930/series-c/rangers-vs-senators(1917),C,1,4,D3,0,6,D3,1,3,36,36,3
38,1930,,/schedule/playoff-series/1930/series-d/rangers-vs-canadiens,D,2,2,D2,2,6,D3,0,8,3,8,3
39,1930,,/schedule/playoff-series/1930/series-i/canadiens-vs-bruins,I,3,1,D1,0,2,D2,2,8,6,6,8
40,1931,,/schedule/playoff-series/1931/series-a/canadiens-vs-bruins,A,2,1,D1,2,2,D1,3,8,6,6,8
41,1931,,/schedule/playoff-series/1931/series-b/blackhawks-vs-mapleleafs,B,1,4,D2,0,3,D2,1,16,10,10,16
42,1931,,/schedule/playoff-series/1931/series-c/maroons-vs-rangers,C,1,5,D3,2,6,D3,0,3,43,3,43
43,1931,,/schedule/playoff-series/1931/series-d/rangers-vs-blackhawks,D,2,3,D2,2,5,D3,0,16,3,16,3
44,1931,,/schedule/playoff-series/1931/series-i/canadiens-vs-blackhawks,I,3,3,D2,2,2,D1,3,8,16,16,8
45,1932,,/schedule/playoff-series/1932/series-a/rangers-vs-canadiens,A,2,1,D1,1,3,D1,3,3,8,8,3
46,1932,,/schedule/playoff-series/1932/series-b/mapleleafs-vs-blackhawks,B,1,6,D2,1,2,D2,1,10,16,16,10
47,1932,,/schedule/playoff-series/1932/series-c/maroons-vs-falcons,C,1,5,D3,0,4,D3,1,43,50,50,43
48,1932,,/schedule/playoff-series/1932/series-d/mapleleafs-vs-maroons,D,2,4,D3,0,2,D2,1,10,43,43,10
49,1932,,/schedule/playoff-series/1932/series-i/mapleleafs-vs-rangers,I,3,3,D1,0,2,D2,3,10,3,3,10
50,1933,,/schedule/playoff-series/1933/series-a/mapleleafs-vs-bruins,A,2,2,D1,2,3,D1,3,10,6,6,10
51,1933,,/schedule/playoff-series/1933/series-b/redwings-vs-maroons,B,1,5,D2,0,1,D2,2,17,43,43,17
52,1933,,/schedule/playoff-series/1933/series-c/canadiens-vs-rangers,C,1,4,D3,1,2,D3,0,3,8,3,8
53,1933,,/schedule/playoff-series/1933/series-d/redwings-vs-rangers,D,2,4,D3,2,1,D2,0,3,17,3,17
54,1933,,/schedule/playoff-series/1933/series-i/mapleleafs-vs-rangers,I,3,4,D3,3,3,D1,1,3,10,3,10
55,1934,,/schedule/playoff-series/1934/series-a/redwings-vs-mapleleafs,A,2,1,D1,2,2,D1,3,17,10,10,17
56,1934,,/schedule/playoff-series/1934/series-b/blackhawks-vs-canadiens,B,1,4,D2,0,3,D2,1,16,8,8,16
57,1934,,/schedule/playoff-series/1934/series-c/rangers-vs-maroons,C,1,6,D3,1,5,D3,0,43,3,43,3
58,1934,,/schedule/playoff-series/1934/series-d/blackhawks-vs-maroons,D,2,6,D3,0,3,D2,2,16,43,43,16
59,1934,,/schedule/playoff-series/1934/series-i/blackhawks-vs-redwings,I,3,2,D1,1,3,D2,3,16,17,17,16
60,1935,,/schedule/playoff-series/1935/series-a/mapleleafs-vs-bruins,A,2,2,D1,1,1,D1,3,10,6,6,10
61,1935,,/schedule/playoff-series/1935/series-b/blackhawks-vs-maroons,B,1,4,D2,1,3,D2,0,43,16,43,16
62,1935,,/schedule/playoff-series/1935/series-c/canadiens-vs-rangers,C,1,5,D3,1,7,D3,0,3,8,3,8
63,1935,,/schedule/playoff-series/1935/series-d/maroons-vs-rangers,D,2,5,D3,0,4,D2,1,43,3,3,43
64,1935,,/schedule/playoff-series/1935/series-i/maroons-vs-mapleleafs,I,3,1,D1,0,4,D2,3,43,10,10,43
65,1936,,/schedule/playoff-series/1936/series-a/redwings-vs-maroons,A,2,3,D1,0,1,D1,3,17,43,43,17
66,1936,,/schedule/playoff-series/1936/series-b/mapleleafs-vs-bruins,B,1,5,D2,1,2,D2,1,10,6,6,10
67,1936,,/schedule/playoff-series/1936/series-c/blackhawks-vs-americans,C,1,7,D3,1,4,D3,1,44,16,44,16
68,1936,,/schedule/playoff-series/1936/series-d/americans-vs-mapleleafs,D,2,2,D2,2,7,D3,1,10,44,10,44
69,1936,,/schedule/playoff-series/1936/series-i/mapleleafs-vs-redwings,I,3,1,D1,3,2,D2,1,17,10,17,10
70,1937,,/schedule/playoff-series/1937/series-a/canadiens-vs-redwings,A,2,1,D1,3,2,D1,2,17,8,17,8
71,1937,,/schedule/playoff-series/1937/series-b/bruins-vs-maroons,B,1,3,D2,2,4,D2,1,43,6,43,6
72,1937,,/schedule/playoff-series/1937/series-c/rangers-vs-mapleleafs,C,1,5,D3,0,6,D3,2,3,10,10,3
73,1937,,/schedule/playoff-series/1937/series-d/maroons-vs-rangers,D,2,6,D3,2,3,D2,0,3,43,3,43
74,1937,,/schedule/playoff-series/1937/series-i/redwings-vs-rangers,I,3,6,D3,2,1,D1,3,17,3,3,17
75,1938,,/schedule/playoff-series/1938/series-a/bruins-vs-mapleleafs,A,2,3,D1,3,1,D1,0,10,6,10,6
76,1938,,/schedule/playoff-series/1938/series-b/americans-vs-rangers,B,1,2,D2,1,5,D3,2,44,3,3,44
77,1938,,/schedule/playoff-series/1938/series-c/blackhawks-vs-canadiens,C,1,4,D2,1,6,D3,2,16,8,8,16
78,1938,,/schedule/playoff-series/1938/series-d/blackhawks-vs-americans,D,2,5,D3,1,6,D3,2,16,44,44,16
79,1938,,/schedule/playoff-series/1938/series-i/blackhawks-vs-mapleleafs,I,3,3,D1,1,6,D3,3,16,10,10,16
80,1939,,/schedule/playoff-series/1939/series-a/bruins-vs-rangers,A,2,2,L2,3,1,L1,4,6,3,3,6
81,1939,,/schedule/playoff-series/1939/series-b/americans-vs-mapleleafs,B,1,3,L3,2,4,L4,0,10,44,10,44
82,1939,,/schedule/playoff-series/1939/series-c/redwings-vs-canadiens,C,1,6,L6,1,5,L5,2,17,8,8,17
83,1939,,/schedule/playoff-series/1939/series-d/redwings-vs-mapleleafs,D,2,3,L3,2,5,L5,1,10,17,10,17
84,1939,,/schedule/playoff-series/1939/series-i/mapleleafs-vs-bruins,I,3,1,L1,4,3,L3,1,6,10,6,10
85,1940,,/schedule/playoff-series/1940/series-a/bruins-vs-rangers,A,2,2,L2,4,1,L1,2,3,6,3,6
86,1940,,/schedule/playoff-series/1940/series-b/blackhawks-vs-mapleleafs,B,1,3,L3,2,4,L4,0,10,16,10,16
87,1940,,/schedule/playoff-series/1940/series-c/americans-vs-redwings,C,1,5,L5,2,6,L6,1,17,44,17,44
88,1940,,/schedule/playoff-series/1940/series-d/redwings-vs-mapleleafs,D,2,3,L3,2,5,L5,0,10,17,10,17
89,1940,,/schedule/playoff-series/1940/series-i/mapleleafs-vs-rangers,I,3,2,L2,4,3,L3,2,3,10,3,10
90,1941,,/schedule/playoff-series/1941/series-a/mapleleafs-vs-bruins,A,2,1,L1,4,2,L2,3,6,10,6,10
91,1941,,/schedule/playoff-series/1941/series-b/rangers-vs-redwings,B,1,3,L3,2,4,L4,1,17,3,17,3
92,1941,,/schedule/playoff-series/1941/series-c/canadiens-vs-blackhawks,C,1,6,L5,2,5,L6,1,16,8,16,8
93,1941,,/schedule/playoff-series/1941/series-d/blackhawks-vs-redwings,D,2,3,L3,2,6,L5,0,17,16,17,16
94,1941,,/schedule/playoff-series/1941/series-i/redwings-vs-bruins,I,3,1,L1,4,3,L3,0,6,17,6,17
95,1942,,/schedule/playoff-series/1942/series-a/rangers-vs-mapleleafs,A,2,2,L2,4,1,L1,2,10,3,10,3
96,1942,,/schedule/playoff-series/1942/series-b/bruins-vs-blackhawks,B,1,4,L4,1,3,L3,2,6,16,16,6
97,1942,,/schedule/playoff-series/1942/series-c/canadiens-vs-redwings,C,1,5,L5,2,6,L6,1,17,8,17,8
98,1942,,/schedule/playoff-series/1942/series-d/redwings-vs-bruins,D,2,3,L3,0,5,L5,2,17,6,6,17
99,1942,,/schedule/playoff-series/1942/series-i/redwings-vs-mapleleafs,I,3,2,L2,4,5,L5,3,10,17,10,17
100,1943,,/schedule/playoff-series/1943/series-a/mapleleafs-vs-redwings,A,1,1,L1,4,3,L3,2,17,10,17,10
101,1943,,/schedule/playoff-series/1943/series-b/canadiens-vs-bruins,B,1,2,L2,4,4,L4,1,6,8,6,8
102,1943,,/schedule/playoff-series/1943/series-i/bruins-vs-redwings,I,2,1,L1,4,2,L2,0,17,6,17,6
103,1944,,/schedule/playoff-series/1944/series-a/mapleleafs-vs-canadiens,A,1,1,L1,4,3,L3,1,8,10,8,10
104,1944,,/schedule/playoff-series/1944/series-b/blackhawks-vs-redwings,B,1,2,L2,1,4,L4,4,16,17,17,16
105,1944,,/schedule/playoff-series/1944/series-i/blackhawks-vs-canadiens,I,2,1,L1,4,4,L4,0,8,16,8,16
106,1945,,/schedule/playoff-series/1945/series-a/mapleleafs-vs-canadiens,A,1,1,L1,2,3,L3,4,10,8,8,10
107,1945,,/schedule/playoff-series/1945/series-b/bruins-vs-redwings,B,1,2,L2,4,4,L4,3,17,6,17,6
108,1945,,/schedule/playoff-series/1945/series-i/mapleleafs-vs-redwings,I,2,2,L2,3,3,L3,4,10,17,17,10
109,1946,,/schedule/playoff-series/1946/series-a/blackhawks-vs-canadiens,A,1,1,L1,4,3,L3,0,8,16,8,16
110,1946,,/schedule/playoff-series/1946/series-b/redwings-vs-bruins,B,1,2,L2,4,4,L4,1,6,17,6,17
111,1946,,/schedule/playoff-series/1946/series-i/bruins-vs-canadiens,I,2,1,L1,4,2,L2,1,8,6,8,6
112,1947,,/schedule/playoff-series/1947/series-a/bruins-vs-canadiens,A,1,1,L1,4,3,L3,1,8,6,8,6
113,1947,,/schedule/playoff-series/1947/series-b/redwings-vs-mapleleafs,B,1,2,L2,4,4,L4,1,10,17,10,17
114,1947,,/schedule/playoff-series/1947/series-i/mapleleafs-vs-canadiens,I,2,1,L1,2,2,L2,4,10,8,8,10
115,1948,,/schedule/playoff-series/1948/series-a/bruins-vs-mapleleafs,A,1,1,L1,4,3,L3,1,10,6,10,6
116,1948,,/schedule/playoff-series/1948/series-b/rangers-vs-redwings,B,1,2,L2,4,4,L4,2,17,3,17,3
117,1948,,/schedule/playoff-series/1948/series-i/redwings-vs-mapleleafs,I,2,1,L1,4,2,L2,0,10,17,10,17
118,1949,,/schedule/playoff-series/1949/series-a/canadiens-vs-redwings,A,1,1,L1,4,3,L3,3,17,8,17,8
119,1949,,/schedule/playoff-series/1949/series-b/mapleleafs-vs-bruins,B,1,2,L2,1,4,L4,4,10,6,6,10
120,1949,,/schedule/playoff-series/1949/series-i/mapleleafs-vs-redwings,I,2,1,L1,0,4,L4,4,10,17,17,10
121,1950,,/schedule/playoff-series/1950/series-a/mapleleafs-vs-redwings,A,1,1,L1,4,3,L3,3,17,10,17,10
122,1950,,/schedule/playoff-series/1950/series-b/canadiens-vs-rangers,B,1,4,L4,4,2,L2,1,3,8,3,8
123,1950,,/schedule/playoff-series/1950/series-i/rangers-vs-redwings,I,2,1,L1,4,4,L4,3,17,3,17,3
124,1951,,/schedule/playoff-series/1951/series-a/canadiens-vs-redwings,A,1,1,L1,2,3,L3,4,8,17,17,8
125,1951,,/schedule/playoff-series/1951/series-b/bruins-vs-mapleleafs,B,1,2,L2,4,4,L4,1,10,6,10,6
126,1951,,/schedule/playoff-series/1951/series-i/canadiens-vs-mapleleafs,I,2,2,L2,4,3,L3,1,10,8,10,8
127,1952,,/schedule/playoff-series/1952/series-a/mapleleafs-vs-redwings,A,1,1,L1,4,3,L3,0,17,10,17,10
128,1952,,/schedule/playoff-series/1952/series-b/bruins-vs-canadiens,B,1,2,L2,4,4,L4,3,8,6,8,6
129,1952,,/schedule/playoff-series/1952/series-i/redwings-vs-canadiens,I,2,2,L2,0,1,L1,4,17,8,8,17
130,1953,,/schedule/playoff-series/1953/series-a/bruins-vs-redwings,A,1,1,L1,2,3,L3,4,6,17,17,6
131,1953,,/schedule/playoff-series/1953/series-b/blackhawks-vs-canadiens,B,1,2,L2,4,4,L4,3,8,16,8,16
132,1953,,/schedule/playoff-series/1953/series-i/bruins-vs-canadiens,I,2,2,L2,4,3,L3,1,8,6,8,6
