seasonIDs,roundNums,seriesLetters,seriesLinks,bottomSeedIDs,bottomSeedWins,topSeedIDs,topSeedWins
19171918,1,A,/schedule/playoff-series/1918/series-a/canadiens-vs-arenas,8,1,57,1
19171918,2,I,/schedule/playoff-series/1918/series-i/millionaires-vs-arenas,7288,2,57,3
19181919,1,A,/schedule/playoff-series/1919/series-a/senators(1917)-vs-canadiens,36,1,8,4
19181919,2,I,/schedule/playoff-series/1919/series-i/canadiens-vs-metropolitans,8,2,7286,2
19201921,1,A,/schedule/playoff-series/1921/series-a/st.patricks-vs-senators(1917),58,0,36,2
19201921,2,I,/schedule/playoff-series/1921/series-i/senators(1917)-vs-millionaires,36,3,7288,2
19211922,1,A,/schedule/playoff-series/1922/series-a/senators(1917)-vs-st.patricks,36,0,58,1
19211922,2,I,/schedule/playoff-series/1922/series-i/millionaires-vs-st.patricks,7288,2,58,3
19221923,1,A,/schedule/playoff-series/1923/series-a/canadiens-vs-senators(1917),8,1,36,1
19221923,2,I,/schedule/playoff-series/1923/series-i/senators(1917)-vs-maroons,36,3,7287,1
19221923,3,M,/schedule/playoff-series/1923/series-m/senators(1917)-vs-eskimos,36,2,7285,0
19231924,1,A,/schedule/playoff-series/1924/series-a/senators(1917)-vs-canadiens,36,0,8,2
19231924,2,I,/schedule/playoff-series/1924/series-i/maroons-vs-canadiens,7287,0,8,2
19231924,3,M,/schedule/playoff-series/1924/series-m/tigers-vs-canadiens,7284,0,8,2
19241925,1,A,/schedule/playoff-series/1925/series-a/st.patricks-vs-canadiens,58,0,8,2
19241925,3,M,/schedule/playoff-series/1925/series-m/canadiens-vs-cougars,8,1,7289,3
19251926,1,A,/schedule/playoff-series/1926/series-a/maroons-vs-pirates,43,1,38,0
19251926,2,I,/schedule/playoff-series/1926/series-i/senators(1917)-vs-maroons,36,0,43,1
19251926,3,M,/schedule/playoff-series/1926/series-m/cougars-vs-maroons,7289,1,43,3
19261927,1,A,/schedule/playoff-series/1927/series-a/canadiens-vs-maroons,8,1,43,0
19261927,1,B,/schedule/playoff-series/1927/series-b/bruins-vs-blackhawks,6,1,16,0
19261927,2,I,/schedule/playoff-series/1927/series-i/senators(1917)-vs-canadiens,36,1,8,0
19261927,2,J,/schedule/playoff-series/1927/series-j/rangers-vs-bruins,3,0,6,1
19261927,3,M,/schedule/playoff-series/1927/series-m/senators(1917)-vs-bruins,36,2,6,0
19271928,1,A,/schedule/playoff-series/1928/series-a/maroons-vs-senators(1917),43,2,36,0
19271928,1,B,/schedule/playoff-series/1928/series-b/pirates-vs-rangers,38,1,3,1
19271928,2,I,/schedule/playoff-series/1928/series-i/canadiens-vs-maroons,8,0,43,1
19271928,2,J,/schedule/playoff-series/1928/series-j/bruins-vs-rangers,6,0,3,1
19271928,3,M,/schedule/playoff-series/1928/series-m/rangers-vs-maroons,3,3,43,2
19281929,2,A,/schedule/playoff-series/1929/series-a/canadiens-vs-bruins,8,0,6,3
19281929,2,D,/schedule/playoff-series/1929/series-d/mapleleafs-vs-rangers,10,0,3,2
19281929,1,B,/schedule/playoff-series/1929/series-b/rangers-vs-americans,3,1,44,0
19281929,1,C,/schedule/playoff-series/1929/series-c/mapleleafs-vs-cougars,10,2,40,0
19281929,3,I,/schedule/playoff-series/1929/series-i/rangers-vs-bruins,3,0,6,2
19291930,2,A,/schedule/playoff-series/1930/series-a/bruins-vs-maroons,6,3,43,1
19291930,2,D,/schedule/playoff-series/1930/series-d/rangers-vs-canadiens,3,0,8,2
19291930,1,B,/schedule/playoff-series/1930/series-b/canadiens-vs-blackhawks,8,1,16,0
19291930,1,C,/schedule/playoff-series/1930/series-c/rangers-vs-senators(1917),3,1,36,0
19291930,3,I,/schedule/playoff-series/1930/series-i/canadiens-vs-bruins,8,2,6,0
19301931,2,A,/schedule/playoff-series/1931/series-a/canadiens-vs-bruins,8,3,6,2
19301931,2,D,/schedule/playoff-series/1931/series-d/rangers-vs-blackhawks,3,0,16,2
19301931,1,B,/schedule/playoff-series/1931/series-b/blackhawks-vs-mapleleafs,16,1,10,0
19301931,1,C,/schedule/playoff-series/1931/series-c/maroons-vs-rangers,43,0,3,2
19301931,3,I,/schedule/playoff-series/1931/series-i/canadiens-vs-blackhawks,8,3,16,2
19311932,2,A,/schedule/playoff-series/1932/series-a/rangers-vs-canadiens,3,3,8,1
19311932,2,D,/schedule/playoff-series/1932/series-d/mapleleafs-vs-maroons,10,1,43,0
19311932,1,B,/schedule/playoff-series/1932/series-b/mapleleafs-vs-blackhawks,10,1,16,1
19311932,1,C,/schedule/playoff-series/1932/series-c/maroons-vs-falcons,43,1,50,0
19311932,3,I,/schedule/playoff-series/1932/series-i/mapleleafs-vs-rangers,10,3,3,0
19321933,2,A,/schedule/playoff-series/1933/series-a/mapleleafs-vs-bruins,10,3,6,2
19321933,2,D,/schedule/playoff-series/1933/series-d/redwings-vs-rangers,17,0,3,2
19321933,1,B,/schedule/playoff-series/1933/series-b/redwings-vs-maroons,17,2,43,0
19321933,1,C,/schedule/playoff-series/1933/series-c/canadiens-vs-rangers,8,0,3,1
19321933,3,I,/schedule/playoff-series/1933/series-i/mapleleafs-vs-rangers,10,1,3,3
19331934,2,A,/schedule/playoff-series/1934/series-a/redwings-vs-mapleleafs,17,3,10,2
19331934,2,D,/schedule/playoff-series/1934/series-d/blackhawks-vs-maroons,16,2,43,0
19331934,1,B,/schedule/playoff-series/1934/series-b/blackhawks-vs-canadiens,16,1,8,0
19331934,1,C,/schedule/playoff-series/1934/series-c/rangers-vs-maroons,3,0,43,1
19331934,3,I,/schedule/playoff-series/1934/series-i/blackhawks-vs-redwings,16,3,17,1
19341935,2,A,/schedule/playoff-series/1935/series-a/mapleleafs-vs-bruins,10,3,6,1
19341935,2,D,/schedule/playoff-series/1935/series-d/maroons-vs-rangers,43,1,3,0
19341935,1,B,/schedule/playoff-series/1935/series-b/blackhawks-vs-maroons,16,0,43,1
19341935,1,C,/schedule/playoff-series/1935/series-c/canadiens-vs-rangers,8,0,3,1
19341935,3,I,/schedule/playoff-series/1935/series-i/maroons-vs-mapleleafs,43,3,10,0
19351936,2,A,/schedule/playoff-series/1936/series-a/redwings-vs-maroons,17,3,43,0
19351936,2,D,/schedule/playoff-series/1936/series-d/americans-vs-mapleleafs,44,1,10,2
19351936,1,B,/schedule/playoff-series/1936/series-b/mapleleafs-vs-bruins,10,1,6,1
19351936,1,C,/schedule/playoff-series/1936/series-c/blackhawks-vs-americans,16,1,44,1
19351936,3,I,/schedule/playoff-series/1936/series-i/mapleleafs-vs-redwings,10,1,17,3
19361937,2,A,/schedule/playoff-series/1937/series-a/canadiens-vs-redwings,8,2,17,3
19361937,2,D,/schedule/playoff-series/1937/series-d/maroons-vs-rangers,43,0,3,2
19361937,1,B,/schedule/playoff-series/1937/series-b/bruins-vs-maroons,6,1,43,2
19361937,1,C,/schedule/playoff-series/1937/series-c/rangers-vs-mapleleafs,3,2,10,0
19361937,3,I,/schedule/playoff-series/1937/series-i/redwings-vs-rangers,17,3,3,2
19371938,2,A,/schedule/playoff-series/1938/series-a/bruins-vs-mapleleafs,6,0,10,3
19371938,2,D,/schedule/playoff-series/1938/series-d/blackhawks-vs-americans,16,2,44,1
19371938,1,B,/schedule/playoff-series/1938/series-b/americans-vs-rangers,44,2,3,1
19371938,1,C,/schedule/playoff-series/1938/series-c/blackhawks-vs-canadiens,16,2,8,1
19371938,3,I,/schedule/playoff-series/1938/series-i/blackhawks-vs-mapleleafs,16,3,10,1
19381939,2,A,/schedule/playoff-series/1939/series-a/bruins-vs-rangers,6,4,3,3
19381939,2,D,/schedule/playoff-series/1939/series-d/redwings-vs-mapleleafs,17,1,10,2
19381939,1,B,/schedule/playoff-series/1939/series-b/americans-vs-mapleleafs,44,0,10,2
19381939,1,C,/schedule/playoff-series/1939/series-c/redwings-vs-canadiens,17,2,8,1
19381939,3,I,/schedule/playoff-series/1939/series-i/mapleleafs-vs-bruins,10,1,6,4
19391940,2,A,/schedule/playoff-series/1940/series-a/bruins-vs-rangers,6,2,3,4
19391940,2,D,/schedule/playoff-series/1940/series-d/redwings-vs-mapleleafs,17,0,10,2
19391940,1,B,/schedule/playoff-series/1940/series-b/blackhawks-vs-mapleleafs,16,0,10,2
19391940,1,C,/schedule/playoff-series/1940/series-c/americans-vs-redwings,44,1,17,2
19391940,3,I,/schedule/playoff-series/1940/series-i/mapleleafs-vs-rangers,10,2,3,4
19401941,2,A,/schedule/playoff-series/1941/series-a/mapleleafs-vs-bruins,10,3,6,4
19401941,2,D,/schedule/playoff-series/1941/series-d/blackhawks-vs-redwings,16,0,17,2
19401941,1,B,/schedule/playoff-series/1941/series-b/rangers-vs-redwings,3,1,17,2
19401941,1,C,/schedule/playoff-series/1941/series-c/canadiens-vs-blackhawks,8,1,16,2
19401941,3,I,/schedule/playoff-series/1941/series-i/redwings-vs-bruins,17,0,6,4
19411942,2,A,/schedule/playoff-series/1942/series-a/rangers-vs-mapleleafs,3,2,10,4
19411942,2,D,/schedule/playoff-series/1942/series-d/redwings-vs-bruins,17,2,6,0
19411942,1,B,/schedule/playoff-series/1942/series-b/bruins-vs-blackhawks,6,2,16,1
19411942,1,C,/schedule/playoff-series/1942/series-c/canadiens-vs-redwings,8,1,17,2
19411942,3,I,/schedule/playoff-series/1942/series-i/redwings-vs-mapleleafs,17,3,10,4
19421943,1,A,/schedule/playoff-series/1943/series-a/mapleleafs-vs-redwings,10,2,17,4
19421943,1,B,/schedule/playoff-series/1943/series-b/canadiens-vs-bruins,8,1,6,4
19421943,2,I,/schedule/playoff-series/1943/series-i/bruins-vs-redwings,6,0,17,4
19431944,1,A,/schedule/playoff-series/1944/series-a/mapleleafs-vs-canadiens,10,1,8,4
19431944,1,B,/schedule/playoff-series/1944/series-b/blackhawks-vs-redwings,16,4,17,1
19431944,2,I,/schedule/playoff-series/1944/series-i/blackhawks-vs-canadiens,16,0,8,4
19441945,1,A,/schedule/playoff-series/1945/series-a/mapleleafs-vs-canadiens,10,4,8,2
19441945,1,B,/schedule/playoff-series/1945/series-b/bruins-vs-redwings,6,3,17,4
