prospect_id,tricode
8483424,MTL
8483549,MTL
8483728,MTL
8484448,MTL
8482081,MTL
8482497,MTL
8484422,MTL
8482476,MTL
8482775,MTL
8482828,MTL
8483488,MTL
8483507,MTL
8482749,MTL
8481794,MTL
8482104,MTL
8482514,MTL
8482134,MTL
8484403,MTL
8483686,MTL
8484410,MTL
8482710,MTL
8482733,MTL
8482687,MTL
8484220,MTL
8482717,MTL
8481593,MTL
8482806,MTL
8483765,MTL
8482487,MTL
8484170,MTL
8484416,MTL
8484424,MTL
8482669,MTL
8482219,BUF
8482697,BUF
8482896,BUF
8481522,BUF
8483468,BUF
8482759,BUF
8479419,BUF
8482746,BUF
8483500,BUF
8482175,BUF
8482769,BUF
8482097,BUF
8482765,BUF
8481751,BUF
8481626,BUF
8482912,BUF
8482883,BUF
8481564,BUF
8483732,BUF
8482916,BUF
8480045,BUF
8477392,NYI
8481016,NYI
8479518,NYI
8480306,NYI
8482668,NYI
8480819,NYI
8478009,NYI
8483428,SJS
8482206,SJS
8482086,SJS
8482101,SJS
8484176,SJS
8482909,SJS
8484474,SJS
8483702,SJS
8483481,SJS
8483753,SJS
8484200,SJS
8484477,SJS
8483618,SJS
8481603,SJS
8482524,SJS
8484235,SJS
8482523,SJS
8483722,SJS
8484152,SJS
8483443,SJS
8483745,SJS
8482934,SJS
8483666,SJS
8482898,SJS
8484413,SJS
8482927,SJS
8482166,SJS
8484421,SJS
8482144,SJS
8484312,SJS
8483045,CBJ
8483432,CBJ
8483434,CBJ
8483688,CBJ
8483715,CBJ
8480441,CBJ
8484472,CBJ
8482744,CBJ
8484214,CBJ
8482451,CBJ
8482926,CBJ
8481716,CBJ
8482453,CBJ
8482678,CBJ
8481161,CBJ
8482448,CBJ
8483485,CBJ
8482692,CBJ
8484232,CBJ
8482711,CBJ
8482982,CBJ
8483738,CBJ
8484441,CBJ
8474610,FLA
8483433,FLA
8482894,FLA
8479367,FLA
8484271,FLA
8484224,FLA
8483878,FLA
8482088,FLA
8483771,FLA
8484475,FLA
8483687,FLA
8482107,FLA
8484470,FLA
8483712,FLA
8482770,FLA
8482734,FLA
8481795,FLA
8482098,FLA
8484411,FLA
8482914,FLA
8484437,FLA
8483736,FLA
8484469,CAR
8482080,CAR
8482917,CAR
8484445,CAR
8484203,CAR
8483501,CAR
8484211,CAR
8482785,CAR
8484402,CAR
8481576,CAR
8483519,CAR
8484392,CAR
8484418,CAR
8481562,CAR
8483674,CAR
8483773,CAR
8482860,CAR
8481615,CAR
8484428,CAR
8482888,CAR
8482666,CAR
8482100,CAR
8482911,CAR
8483713,CAR
8479462,CAR
8482187,CAR
8481040,CAR
8482921,CAR
8484440,CAR
8481050,CAR
8482899,CAR
8484293,CAR
8482895,CAR
8484493,CAR
8483754,CAR
8482724,VGK
8484155,VGK
8482933,VGK
8477419,VGK
8483451,VGK
8482512,VGK
8483748,VGK
8481462,VGK
8479748,VGK
8483511,VGK
8484466,VGK
8482943,VGK
8482141,VGK
8482500,VGK
8483829,VGK
8484397,VGK
8481527,VGK
8478062,VGK
8482138,VGK
8483709,VGK
8482761,VGK
8481520,VGK
8483523,VGK
8482891,DAL
8480840,DAL
8481712,DAL
8482145,DAL
8482919,DAL
8484796,DAL
8484829,DAL
8478888,DAL
8484938,DAL
8479986,DAL
8483799,DAL
8481041,DAL
8483514,DAL
8482120,DAL
8484124,DAL
8484146,DAL
8483425,DAL
8478476,DAL
8484822,DAL
8483470,DAL
8475755,DAL
8484523,DAL
8483059,DAL
8476433,DAL
8484835,DAL
8482465,DAL
8484143,WPG
8482787,WPG
8484135,WPG
8484430,WPG
8483471,WPG
8484483,WPG
8482780,WPG
8484204,WPG
8482935,WPG
8483520,WPG
8483526,WPG
8482459,WPG
8483672,WPG
8481547,WPG
8483510,WPG
8483711,WPG
8483114,WPG
8482070,TBL
8482663,TBL
8482454,TBL
8482090,TBL
8480863,TBL
8484173,TBL
8482201,TBL
8482168,TBL
8482774,TBL
8484484,TBL
8483455,TBL
8482757,TBL
8484325,TBL
8481684,TBL
8484226,TBL
8483691,TBL
8481691,TBL
8483398,TBL
8484462,TBL
8481719,TBL
8482942,TBL
8483692,TBL
8482929,TBL
8482944,TBL
8482693,TBL
8481597,TBL
8481619,NSH
8484494,NSH
8485005,NSH
8483465,NSH
8484778,NSH
8482508,NSH
8481817,NSH
8484425,NSH
8484206,NSH
8485022,NSH
8483696,NSH
8485108,NSH
8483844,NSH
8483513,NSH
8484856,NSH
8483707,NSH
8484993,NSH
8481730,NSH
8482103,NSH
8484412,NSH
8484241,NSH
8481718,NSH
8481743,NSH
8484174,NSH
8485000,NSH
8483086,NSH
8483469,NSH
8484256,NSH
8482808,NSH
8484196,NSH
8482721,NSH
8482091,NSH
8482180,NSH
8481056,NSH
8482715,NSH
8485011,NSH
8479549,NSH
8484446,NJD
8483439,NJD
8481518,NJD
8481721,NJD
8483531,NJD
8484177,NJD
8482760,NJD
8484405,NJD
8478051,NJD
8483721,NJD
8483429,NJD
8484439,NJD
8482194,NJD
8481701,NJD
8482908,NJD
8484465,NJD
8483474,NJD
8483495,NJD
8483689,NJD
8482873,NJD
8478841,NJD
8483426,NJD
8482076,NJD
8482867,NJD
8484478,OTT
8483718,OTT
8483676,OTT
8482862,OTT
8483749,OTT
8483673,OTT
8484485,OTT
8484429,OTT
8483435,OTT
8483683,OTT
8483670,OTT
8484409,OTT
8484534,OTT
8483757,OTT
8484489,OTT
8483762,OTT
8482779,COL
8484497,COL
8482953,COL
8480846,COL
8482676,COL
8478884,COL
8484389,COL
8484431,COL
8479387,COL
8483725,COL
8481007,COL
8484159,WSH
8483920,WSH
8484757,WSH
8482879,WSH
8482960,WSH
8483007,WSH
8482148,WSH
8482639,WSH
8483491,WSH
8484769,WSH
8483681,WSH
8478224,WSH
8484999,WSH
8478867,WSH
8480791,WSH
8483518,WSH
8484404,WSH
8482167,WSH
8484140,WSH
8483430,WSH
8482683,WSH
8482861,WSH
8482723,WSH
8482931,WSH
8479597,WSH
8482188,WSH
8482939,WSH
8484480,WSH
8482411,WSH
8483532,WSH
8478494,LAK
8482863,MIN
8484487,MIN
8481586,MIN
8483452,MIN
8484178,MIN
8484184,MIN
8483478,MIN
8482829,MIN
8483499,MIN
8484231,MIN
8483525,MIN
8482728,MIN
8483708,MIN
8482781,MIN
8482707,MIN
8482143,MIN
8484460,MIN
8482686,MIN
8484215,MIN
8483766,MIN
8481720,TOR
8479599,TOR
8480977,TOR
8480995,TOR
8480284,TOR
8481054,TOR
8481582,TOR
8481614,TOR
8481565,TOR
8479555,TOR
8479361,TOR
8482202,EDM
8484491,EDM
8481734,EDM
8482704,EDM
8480468,EDM
8485511,EDM
8483693,EDM
8481752,EDM
8478967,EDM
8482718,EDM
8483847,EDM
8484139,EDM
8479341,EDM
8480274,EDM
8482864,EDM
8483734,EDM
8484455,EDM
8483769,EDM
8483772,CGY
8478056,CGY
8482889,CGY
8482679,CGY
8484180,CGY
8478211,CGY
8478865,CGY
8482209,CGY
8483609,CGY
8484189,CGY
8483698,CGY
8481028,CGY
8482766,CGY
8479408,CGY
8482074,CGY
8482183,CGY
8484481,CGY
8482165,CGY
8484198,CGY
8482173,CGY
8482513,CGY
8482949,CGY
8484459,CGY
8482213,BOS
8481558,BOS
8482776,BOS
8482739,BOS
8484179,BOS
8482907,BOS
8482479,BOS
8480880,BOS
8483704,BOS
8482763,BOS
8483567,BOS
8484401,BOS
8481681,BOS
8483701,BOS
8484467,BOS
8483017,BOS
8480828,BOS
8483438,BOS
8482719,BOS
8482517,BOS
8482511,BOS
8482893,BOS
8483548,BOS
8482870,BOS
8481589,STL
8481543,STL
8482784,STL
8482156,STL
8485086,STL
8484164,STL
8484792,STL
8483463,STL
8485104,STL
8484784,STL
8476907,STL
8481070,STL
8485021,STL
8484393,STL
8482121,STL
8482716,STL
8484229,STL
8484230,STL
8484476,STL
8482945,STL
8483427,STL
8484151,STL
8484810,STL
8483764,STL
8484790,STL
8482499,STL
8482516,STL
8483705,STL
8484188,STL
8482478,STL
8484114,STL
8484452,STL
8485042,STL
8484865,STL
8481461,STL
8482205,STL
8481551,STL
8481689,STL
8484144,CHI
8482703,CHI
8484400,CHI
8480252,CHI
8483453,CHI
8483752,CHI
8484390,CHI
8479426,CHI
8484185,CHI
8483480,CHI
8482903,CHI
8484420,CHI
8484195,CHI
8484450,CHI
8484212,CHI
8482117,CHI
8481588,CHI
8482915,CHI
8483677,CHI
8482905,CHI
8483685,CHI
8483719,CHI
8482700,CHI
8481806,CHI
8482807,CHI
8482923,CHI
8482176,CHI
8483466,CHI
8484473,CHI
8481568,CHI
8482123,CHI
8484171,CHI
8482821,CHI
8481013,DET
8483010,PHI
8484142,PHI
8481553,PHI
8483731,PHI
8484156,PHI
8482452,PHI
8483697,PHI
8483461,PHI
8483787,PHI
8480245,PHI
8484447,PHI
8482790,PHI
8484387,PHI
8481760,PHI
8482727,PHI
8482161,PHI
8482126,PHI
8478011,PHI
8484148,PHI
8480874,PHI
8482169,PHI
8484191,PHI
8483760,PHI
8482804,PHI
8482890,PHI
8484228,PHI
8482930,PHI
8484147,PHI
8482783,PHI
8484398,PHI
8485009,ANA
8482115,ANA
8485059,ANA
8483770,ANA
8484153,ANA
8481538,ANA
8482118,ANA
8482485,ANA
8483444,ANA
8482810,ANA
8482925,ANA
8484776,ANA
8482745,ANA
8484201,ANA
8482136,ANA
8481754,ANA
8482682,ANA
8484767,ANA
8484216,ANA
8484867,ANA
8484762,ANA
8484396,ANA
8484236,ANA
8484110,ANA
8483061,ANA
8484414,ANA
8481727,ANA
8481563,ANA
8482731,ANA
8483482,ANA
8483490,ANA
8484443,ANA
8484395,ANA
8484862,ANA
8484859,ANA
8485090,ANA
8483521,ANA
8482803,ANA
8483746,ANA
8482477,ANA
8484391,ANA
8480843,ANA
8483898,ANA
8485036,SEA
8484800,SEA
8483442,SEA
8484463,SEA
8483449,SEA
8483761,SEA
8482694,SEA
8484789,SEA
8484415,SEA
8483484,SEA
8484773,SEA
8484168,SEA
8483012,SEA
8483497,SEA
8484219,SEA
8483043,SEA
8484891,SEA
8484222,SEA
8484760,SEA
8482751,SEA
8484486,SEA
8484838,SEA
8484162,SEA
8485096,SEA
8484433,SEA
8483684,SEA
8483494,SEA
8482866,SEA
8484217,SEA
8483668,SEA
8484910,SEA
8485003,SEA
8484451,SEA
8482884,SEA
8482456,PIT
8484456,PIT
8482993,PIT
8484427,PIT
8484492,PIT
8483401,PIT
8481703,PIT
8482801,PIT
8484839,PIT
8484490,PIT
8483503,PIT
8484213,PIT
8478854,PIT
8481030,PIT
8481526,PIT
8483703,PIT
8475968,NYR
8482132,NYR
8477320,NYR
8482877,NYR
8481726,NYR
8484457,NYR
8481548,NYR
8483730,NYR
8483690,NYR
8482928,NYR
8479991,NYR
8483486,NYR
8474062,NYR
8482747,NYR
8480986,NYR
8484210,NYR
8482460,NYR
8484461,NYR
8483669,NYR
8482868,NYR
8484169,NYR
8477433,NYR
8484436,NYR
8482067,NYR
8481525,NYR
8483407,NYR
8482869,NYR
8475839,NYR
8482193,NYR
8482504,NYR
