seasonID,stanleyCupWinner ID,presidentsTrophyWinnerID,messierTrophyWinnerID,richardTrophyWinnerID,vezinaTrophyWinnerID,hartTrophyWinnerID,jackAdamsWinnerCoach,jackAdamsWinnerTeam,kingClancyWinnerID,Jennings,jenningsWinnerID,jenningsTeamID,selkeWinnerID,lindsayWinnerID,mastertonWinnerID,connSmytheWinnerID,norrisWinnerID,artRossWinnerID,calderWinnerID,ladyByngWinnerID
20242025,,52,,8477934,,,,,,2024-25,8476945,52,,,,,,8476453,,
20232024,13,3,8476885,8479318,8476945,8477492,Rick Tocchet,23,8475314,2023-24,8476945,52,8477493,8477492,8478971,8478402,8480800,8476453,8484144,8476958
20222023,54,6,8474564,8478402,8476999,8478402,Jim Montgomery,6,8474150,2022-23,8480280; 8476999,6,8470638,8478402,8471724,8476539,8474578,8478402,8482665,8471685
20212022,21,13,8471685,8479318,8478048,8479318,Darryl Sutter,20,8474056,2021-22,8477293; 8475883,12,8470638,8479318,8471679,8480069,8480069,8478402,8481542,8478398
20202021,14,21,8470638,8479318,8470594,8478402,Rod Brind'Amour,12,8471469,2020-21,8470594; 8475215,54,8477493,8478402,8478067,8476883,8479323,8478402,8478864,8476958
20192020,14,6,8470966,8477956; 8471214,8476945,8477934,Bruce Cassidy,6,8476856,2019-20,8470860; 8471695,6,8476461,8477934,8471676,8475167,8474600,8477934,8480069,8477492
20182019,19,14,8474190,8471214,8476883,8476453,Barry Trotz,2,8475722,2018-19,8475215,2,8475158,8476453,8475215,8475158,8470966,8476453,8480012,8477493
20172018,15,18,8468674,8471214,8471469,8447463,Gerard Gallant,54,8467876,,8471306,2,8471685,8478402,8470619,8471214,8475167,8478402,8478445,8476448
20162017,5,15,8473422,8471675,8475683,8478402,John Tortorella,29,8467875,2017-18,8471734,26,8470638,8478402,8467950,8471675,8470613,8478402,8479318,8476346
20152016,5,15,8470642,8471214,8474651,8474141,Barry Trotz,15,8473422,2016-17,8474651,15,8471685,8474141,8448208,8471675,8474563,8474141,8478550,8471685
20142015,16,3,8473604,8471214,8471679,8471679,Bob Hartley,20,8467876,2015-16,8476434,24,8470638,8471679,8471227,8470281,8474578,8473994,8477932,8470201
