season,roundNums,seriesLetter,seriesLinks,bottomSeedIDs,bottomSeedWins,topSeedIDs,topSeedWins,seasons,bracketLogos,topSeedRanks,topSeedRankAbbrevs,bottomSeedRanks,bottomSeedRankAbbrevs,winningTeamIds,losingTeamIds,gameId,seriesLogo,neededToWin,length,awayTeamScore,homeTeamScore,gameCenterLink,seriesStatusTopSeedWins,seriesStatusBottomSeedWins,fullCoverageURL,lastPeriodType
20242025,1,A,/schedule/playoff-series/2025/series-a/senators-vs-mapleleafs,9,,,,,,,,,,,,2024030111,https://assets.nhle.com/logos/playoffs/png/stanley_cup_playoffs_secondary_wordmark_dark.png,4,7,2,6,/gamecenter/ott-vs-tor/2025/04/20/2024030111,1,0,,REG
20242025,1,A,/schedule/playoff-series/2025/series-a/senators-vs-mapleleafs,9,,,,,,,,,,,,2024030112,https://assets.nhle.com/logos/playoffs/png/stanley_cup_playoffs_secondary_wordmark_dark.png,4,7,2,3,/gamecenter/ott-vs-tor/2025/04/22/2024030112,2,0,,OT
20242025,1,A,/schedule/playoff-series/2025/series-a/senators-vs-mapleleafs,9,,,,,,,,,,,,2024030113,https://assets.nhle.com/logos/playoffs/png/stanley_cup_playoffs_secondary_wordmark_dark.png,4,7,3,2,/gamecenter/tor-vs-ott/2025/04/24/2024030113,3,0,,OT
20242025,1,A,/schedule/playoff-series/2025/series-a/senators-vs-mapleleafs,9,,,,,,,,,,,,2024030114,https://assets.nhle.com/logos/playoffs/png/stanley_cup_playoffs_secondary_wordmark_dark.png,4,7,3,4,/gamecenter/tor-vs-ott/2025/04/26/2024030114,3,1,,OT
20242025,1,A,/schedule/playoff-series/2025/series-a/senators-vs-mapleleafs,9,,,,,,,,,,,,2024030115,https://assets.nhle.com/logos/playoffs/png/stanley_cup_playoffs_secondary_wordmark_dark.png,4,7,4,0,/gamecenter/ott-vs-tor/2025/04/29/2024030115,3,2,,REG
20242025,1,A,/schedule/playoff-series/2025/series-a/senators-vs-mapleleafs,9,,,,,,,,,,,,2024030116,https://assets.nhle.com/logos/playoffs/png/stanley_cup_playoffs_secondary_wordmark_dark.png,4,7,,,/gamecenter/tor-vs-ott/2025/05/01/2024030116,,,,
20242025,1,A,/schedule/playoff-series/2025/series-a/senators-vs-mapleleafs,9,,,,,,,,,,,,2024030117,https://assets.nhle.com/logos/playoffs/png/stanley_cup_playoffs_secondary_wordmark_dark.png,4,7,,,/gamecenter/ott-vs-tor/2025/05/03/2024030117,,,,
20242025,1,B,/schedule/playoff-series/2025/series-b/panthers-vs-lightning,,,,,,,,,,,,,2024030121,https://assets.nhle.com/logos/playoffs/png/stanley_cup_playoffs_secondary_wordmark_dark.png,4,7,6,2,/gamecenter/fla-vs-tbl/2025/04/22/2024030121,0,1,,REG
20242025,1,B,/schedule/playoff-series/2025/series-b/panthers-vs-lightning,,,,,,,,,,,,,2024030122,https://assets.nhle.com/logos/playoffs/png/stanley_cup_playoffs_secondary_wordmark_dark.png,4,7,2,0,/gamecenter/fla-vs-tbl/2025/04/24/2024030122,0,2,,REG
20242025,1,B,/schedule/playoff-series/2025/series-b/panthers-vs-lightning,,,,,,,,,,,,,2024030123,https://assets.nhle.com/logos/playoffs/png/stanley_cup_playoffs_secondary_wordmark_dark.png,4,7,5,1,/gamecenter/tbl-vs-fla/2025/04/26/2024030123,1,2,,REG
20242025,1,B,/schedule/playoff-series/2025/series-b/panthers-vs-lightning,,,,,,,,,,,,,2024030124,https://assets.nhle.com/logos/playoffs/png/stanley_cup_playoffs_secondary_wordmark_dark.png,4,7,2,4,/gamecenter/tbl-vs-fla/2025/04/28/2024030124,1,3,,REG
20242025,1,B,/schedule/playoff-series/2025/series-b/panthers-vs-lightning,,,,,,,,,,,,,2024030125,https://assets.nhle.com/logos/playoffs/png/stanley_cup_playoffs_secondary_wordmark_dark.png,4,7,,,/gamecenter/fla-vs-tbl/2025/04/30/2024030125,,,,
20242025,1,B,/schedule/playoff-series/2025/series-b/panthers-vs-lightning,,,,,,,,,,,,,2024030126,https://assets.nhle.com/logos/playoffs/png/stanley_cup_playoffs_secondary_wordmark_dark.png,4,7,,,/gamecenter/tbl-vs-fla/2025/05/02/2024030126,,,,
20242025,1,B,/schedule/playoff-series/2025/series-b/panthers-vs-lightning,,,,,,,,,,,,,2024030127,https://assets.nhle.com/logos/playoffs/png/stanley_cup_playoffs_secondary_wordmark_dark.png,4,7,,,/gamecenter/fla-vs-tbl/2025/05/04/2024030127,,,,
20242025,1,C,/schedule/playoff-series/2025/series-c/canadiens-vs-capitals,,,,,,,,,,,,,2024030131,https://assets.nhle.com/logos/playoffs/png/stanley_cup_playoffs_secondary_wordmark_dark.png,4,7,2,3,/gamecenter/mtl-vs-wsh/2025/04/21/2024030131,1,0,,OT
20242025,1,C,/schedule/playoff-series/2025/series-c/canadiens-vs-capitals,,,,,,,,,,,,,2024030132,https://assets.nhle.com/logos/playoffs/png/stanley_cup_playoffs_secondary_wordmark_dark.png,4,7,1,3,/gamecenter/mtl-vs-wsh/2025/04/23/2024030132,2,0,,REG
