Date,Team,Player,Transaction Details
"May 5, 2025",Tampa Bay Lightning,Charles-Edouard D'Astous,Signed 1 year @ $775K AAV starting in 2025-26
"May 5, 2025",Ottawa Senators,Nikolas Matinpalo,Signed 2 years @ $875K AAV starting in 2025-26
"May 5, 2025",Carolina Hurricanes,Frederik Andersen,Signed 1 year @ $3.500M AAV starting in 2025-26
"May 3, 2025",Calgary Flames,Matt Coronato,Signed 7 years @ $6.500M AAV starting in 2025-26
"May 2, 2025",New York Rangers,Juuso Parssinen,Signed 2 years @ $1.250M AAV starting in 2025-26
"May 2, 2025",Edmonton Oilers,Alec Regula,Signed 2 years @ $775K AAV starting in 2025-26
"May 2, 2025",New York Rangers,Juuso Parssinen,Signed 2 years @ $1.250M AAV starting in 2025-26
"May 1, 2025",St. Louis Blues,Will Cranley,Signed 1 year @ $775K AAV starting in 2025-26
"Apr 30, 2025",Carolina Hurricanes,Taylor Hall,Signed 3 years @ $3.167M AAV starting in 2025-26
"Apr 29, 2025",Utah Hockey Club,Jaxson Stauber,Signed 2 years @ $775K AAV starting in 2025-26
"Apr 28, 2025",Pittsburgh Penguins,Filip Hallander,Signed 2 years @ $775K AAV starting in 2025-26
"Apr 26, 2025",Carolina Hurricanes,Alexander Nikishin,Signed to an entry level contract.
"Apr 25, 2025",Minnesota Wild,Riley Mercer,Signed to an entry level contract.
"Apr 25, 2025",Florida Panthers,Aaron Ekblad,Suspension Ended
"Apr 24, 2025",Utah Hockey Club,Michal Kunc,Signed to an entry level contract.
"Apr 24, 2025",Toronto Maple Leafs,Max Pacioretty,Activated from LTIR
"Apr 23, 2025",Edmonton Oilers,Evander Kane,Activated from LTIR
"Apr 22, 2025",Florida Panthers,Matthew Tkachuk,Activated from LTIR
"Apr 22, 2025",Edmonton Oilers,Olivier Rodrigue,Recalled from AHL
"Apr 22, 2025",Minnesota Wild,Samuel Hlavaj,Recalled from AHL
"Apr 21, 2025",Minnesota Wild,Travis Boyd,Recalled from AHL
"Apr 21, 2025",Minnesota Wild,Brendan Gaunce,Recalled from AHL
"Apr 21, 2025",Minnesota Wild,Hunter Haight,Recalled from AHL
"Apr 21, 2025",Minnesota Wild,Ben Jones,Recalled from AHL
"Apr 21, 2025",Minnesota Wild,Carson Lambos,Recalled from AHL
"Apr 21, 2025",Minnesota Wild,Liam Ohgren,Recalled from AHL
"Apr 21, 2025",Los Angeles Kings,Pheonix Copley,Recalled from AHL
"Apr 21, 2025",Colorado Avalanche,Gabriel Landeskog,Activated from LTIR
"Apr 20, 2025",Washington Capitals,Bogdan Trineyev,Signed 1 year @ $775K AAV starting in 2025-26
"Apr 20, 2025",Colorado Avalanche,Zakhar Bardakov,Signed to an entry level contract.
"Apr 20, 2025",Minnesota Wild,Devin Shore,Recalled from AHL
"Apr 20, 2025",Toronto Maple Leafs,Artur Akhtyamov,Recalled from AHL
"Apr 19, 2025",Edmonton Oilers,Ty Emberson,Signed 2 years @ $1.300M AAV starting in 2025-26
"Apr 19, 2025",Ottawa Senators,Leevi Meriläinen,Recalled from AHL
"Apr 19, 2025",Calgary Flames,Dryden Hunt,Assigned to AHL
"Apr 19, 2025",Carolina Hurricanes,Ruslan Khazheyev,Recalled from AHL
"Apr 19, 2025",Detroit Red Wings,Elmer Soderblom,Assigned to AHL
"Apr 19, 2025",Anaheim Ducks,Ville Husso,Assigned to AHL
"Apr 18, 2025",San Jose Sharks,Leo Sahlin Wallenius,Signed to an entry level contract.
