datagolf_rank,dg_id,dg_skill_estimate,owgr_rank,primary_tour,last_updated
1,18417,2.87912385847843,1,PGA,2025-05-05 12:16:46 UTC
2,10091,2.27495290977342,2,PGA,2025-05-05 12:16:46 UTC
3,19841,1.97368973071206,13,LIV,2025-05-05 12:16:46 UTC
4,19195,1.97134092450011,77,LIV,2025-05-05 12:16:46 UTC
5,22085,1.74040165207808,4,PGA,2025-05-05 12:16:46 UTC
6,14139,1.73035020509853,5,PGA,2025-05-05 12:16:46 UTC
7,14578,1.59692543072317,8,PGA,2025-05-05 12:16:46 UTC
8,19895,1.57477333371899,3,PGA,2025-05-05 12:16:46 UTC
9,18079,1.55696817834969,85,LIV,2025-05-05 12:16:46 UTC
10,12294,1.50603066604219,11,PGA,2025-05-05 12:16:46 UTC
11,14796,1.46535755796229,20,LIV,2025-05-05 12:16:46 UTC
12,15466,1.41490062411597,16,PGA,2025-05-05 12:16:46 UTC
13,13562,1.38496886611022,7,PGA,2025-05-05 12:16:46 UTC
14,17576,1.35440015632974,22,PGA,2025-05-05 12:16:46 UTC
15,13900,1.2869500325641,12,PGA,2025-05-05 12:16:46 UTC
16,23950,1.21897043342246,6,PGA,2025-05-05 12:16:46 UTC
17,17511,1.19997664817762,17,PGA,2025-05-05 12:16:46 UTC
18,17606,1.17320718353927,27,PGA,2025-05-05 12:16:46 UTC
19,18841,1.10122527793585,9,PGA,2025-05-05 12:16:46 UTC
20,19870,1.06646508333036,43,PGA,2025-05-05 12:16:46 UTC
21,13872,1.05746960105711,18,PGA,2025-05-05 12:16:46 UTC
22,14838,1.04745659005024,51,LIV,2025-05-05 12:16:46 UTC
23,18634,1.04683007766834,10,PGA,2025-05-05 12:16:46 UTC
24,9771,1.00114427682667,32,PGA,2025-05-05 12:16:46 UTC
25,17488,0.986468328977741,19,PGA,2025-05-05 12:16:46 UTC
26,14636,0.985294033072816,46,PGA,2025-05-05 12:16:46 UTC
27,19483,0.963505459911802,33,PGA,2025-05-05 12:16:46 UTC
28,18554,0.962908584435436,29,PGA,2025-05-05 12:16:46 UTC
29,17543,0.928899225436816,53,PGA,2025-05-05 12:16:46 UTC
30,17536,0.924370357882723,28,PGA,2025-05-05 12:16:46 UTC
31,23475,0.901044920242334,34,PGA,2025-05-05 12:16:46 UTC
32,14609,0.900059345241799,68,PGA,2025-05-05 12:16:46 UTC
33,23323,0.87292927128012,21,PGA,2025-05-05 12:16:46 UTC
34,8825,0.853427432702453,23,PGA,2025-05-05 12:16:46 UTC
35,26096,0.843826401538267,26,PGA,2025-05-05 12:16:46 UTC
36,16841,0.830931165766887,25,PGA,2025-05-05 12:16:46 UTC
37,21554,0.823925230355139,44,PGA,2025-05-05 12:16:46 UTC
38,14735,0.820351592691995,217,LIV,2025-05-05 12:16:46 UTC
39,27364,0.801062076049749,52,PGA,2025-05-05 12:16:46 UTC
40,23841,0.799792839244668,75,EURO,2025-05-05 12:16:46 UTC
41,15856,0.788549469014584,142,LIV,2025-05-05 12:16:46 UTC
42,7399,0.766611361924781,37,PGA,2025-05-05 12:16:46 UTC
43,28984,0.754839348322353,107,LIV,2025-05-05 12:16:46 UTC
44,17064,0.754817553676477,324,LIV,2025-05-05 12:16:46 UTC
45,17780,0.752972659582344,47,PGA,2025-05-05 12:16:46 UTC
46,17365,0.715048678798096,90,PGA,2025-05-05 12:16:46 UTC
47,24968,0.713012739990297,58,PGA,2025-05-05 12:16:46 UTC
48,11676,0.700151047617188,38,PGA,2025-05-05 12:16:46 UTC
49,20770,0.698046240752748,501,LIV,2025-05-05 12:16:46 UTC
50,23604,0.687497984446718,15,PGA,2025-05-05 12:16:46 UTC
51,15556,0.683411821451119,56,PGA,2025-05-05 12:16:46 UTC
52,11276,0.680301625644406,24,PGA,2025-05-05 12:16:46 UTC
53,5689,0.655064009685146,419,LIV,2025-05-05 12:16:46 UTC
54,14577,0.655045088205393,35,PGA,2025-05-05 12:16:46 UTC
55,14459,0.65463544955215,39,PGA,2025-05-05 12:16:46 UTC
56,15575,0.648083124896562,42,PGA,2025-05-05 12:16:46 UTC
57,6093,0.642881969200572,14,PGA,2025-05-05 12:16:46 UTC
58,23465,0.641010268908285,45,PGA,2025-05-05 12:16:46 UTC
59,29433,0.632574346687957,73,PGA,2025-05-05 12:16:46 UTC
60,16243,0.631110739410283,337,LIV,2025-05-05 12:16:46 UTC
61,14424,0.62757335506565,169,LIV,2025-05-05 12:16:46 UTC
62,14502,0.626592963102622,83,PGA,2025-05-05 12:16:46 UTC
63,29767,0.619031419168138,80,PGA,2025-05-05 12:16:46 UTC
64,25569,0.590309804467521,62,PGA,2025-05-05 12:16:46 UTC
65,6430,0.589139878313031,40,PGA,2025-05-05 12:16:46 UTC
66,27194,0.586140648773032,96,PGA,2025-05-05 12:16:46 UTC
67,13412,0.580668048304894,81,PGA,2025-05-05 12:16:46 UTC
68,21756,0.57718090925112,59,PGA,2025-05-05 12:16:46 UTC
69,19428,0.565422446612109,71,PGA,2025-05-05 12:16:46 UTC
70,16283,0.55683526093465,72,PGA,2025-05-05 12:16:46 UTC
71,16394,0.545112950812748,48,PGA,2025-05-05 12:16:46 UTC
72,28635,0.532501899637707,54,PGA,2025-05-05 12:16:46 UTC
73,13126,0.503900688054929,36,PGA,2025-05-05 12:16:46 UTC
74,23014,0.500326564084246,31,PGA,2025-05-05 12:16:46 UTC
75,14704,0.48734837259954,148,PGA,2025-05-05 12:16:46 UTC
76,24766,0.474759987442074,41,PGA,2025-05-05 12:16:46 UTC
77,21944,0.463289670694458,89,PGA,2025-05-05 12:16:46 UTC
78,7649,0.439369495875693,488,LIV,2025-05-05 12:16:46 UTC
79,32330,0.437013699815806,103,AM,2025-05-05 12:16:46 UTC
80,32457,0.436522216039465,93,KFT,2025-05-05 12:16:46 UTC
81,11657,0.436137972409776,167,PGA,2025-05-05 12:16:46 UTC
82,7672,0.418126739300931,299,LIV,2025-05-05 12:16:46 UTC
83,23838,0.416069657146603,57,PGA,2025-05-05 12:16:46 UTC
84,25157,0.408720205726832,101,PGA,2025-05-05 12:16:46 UTC
85,23505,0.40332874077558,76,PGA,2025-05-05 12:16:46 UTC
86,6169,0.398796868523718,135,PGA,2025-05-05 12:16:46 UTC
87,21891,0.396092023393262,95,PGA,2025-05-05 12:16:46 UTC
88,18586,0.395041989564071,112,EURO,2025-05-05 12:16:46 UTC
89,7398,0.391683205189886,362,LIV,2025-05-05 12:16:46 UTC
90,10104,0.387436831456811,122,PGA,2025-05-05 12:16:46 UTC
91,14013,0.386617142487885,501,LIV,2025-05-05 12:16:46 UTC
92,17646,0.384579234265624,84,PGA,2025-05-05 12:16:46 UTC
93,7108,0.382577494329868,501,LIV,2025-05-05 12:16:46 UTC
94,18103,0.38091827539136,63,PGA,2025-05-05 12:16:46 UTC
95,17881,0.375849653995062,82,PGA,2025-05-05 12:16:46 UTC
96,24550,0.362963493998331,111,PGA,2025-05-05 12:16:46 UTC
97,18474,0.360622624133248,126,PGA,2025-05-05 12:16:46 UTC
98,6516,0.347088126603716,501,LIV,2025-05-05 12:16:46 UTC
99,14795,0.345013909307277,55,EURO,2025-05-05 12:16:46 UTC
100,25908,0.34282617927998,132,PGA,2025-05-05 12:16:46 UTC
101,14181,0.330117754114687,30,PGA,2025-05-05 12:16:46 UTC
102,22322,0.312837776391199,115,EURO,2025-05-05 12:16:46 UTC
103,12423,0.311164217196252,79,PGA,2025-05-05 12:16:46 UTC
104,18580,0.307285791197377,501,LIV,2025-05-05 12:16:46 UTC
105,22760,0.307280872453032,86,PGA,2025-05-05 12:16:46 UTC
106,12577,0.304963091373103,94,PGA,2025-05-05 12:16:46 UTC
107,18238,0.304220119312685,473,LIV,2025-05-05 12:16:46 UTC
108,19396,0.303653035031685,87,PGA,2025-05-05 12:16:46 UTC
109,16715,0.298851253006844,159,PGA,2025-05-05 12:16:46 UTC
110,25094,0.298670653225624,110,PGA,2025-05-05 12:16:46 UTC
111,23504,0.287475865748832,123,PGA,2025-05-05 12:16:46 UTC
112,26745,0.283147340962054,139,EURO,2025-05-05 12:16:46 UTC
113,21074,0.280240721008904,104,EURO,2025-05-05 12:16:46 UTC
114,26653,0.273900177695376,60,PGA,2025-05-05 12:16:46 UTC
115,14509,0.26393673377244,144,PGA,2025-05-05 12:16:46 UTC
116,15676,0.263062981769712,105,EURO,2025-05-05 12:16:46 UTC
117,15004,0.256338455539018,133,PGA,2025-05-05 12:16:46 UTC
118,19729,0.24971117398776,165,PGA,2025-05-05 12:16:46 UTC
119,17550,0.244698775773687,66,PGA,2025-05-05 12:16:46 UTC
120,20706,0.239633165204254,88,PGA,2025-05-05 12:16:46 UTC
121,23816,0.223043477316409,106,PGA,2025-05-05 12:16:46 UTC
122,22833,0.221550787593462,49,PGA,2025-05-05 12:16:46 UTC
123,17723,0.219593717840134,100,PGA,2025-05-05 12:16:46 UTC
124,28469,0.217671181151635,65,PGA,2025-05-05 12:16:46 UTC
125,12965,0.189760318452878,125,PGA,2025-05-05 12:16:46 UTC
126,13944,0.18795494293624,478,LIV,2025-05-05 12:16:46 UTC
127,23602,0.181078743695476,92,PGA,2025-05-05 12:16:46 UTC
128,11357,0.174216456386474,164,LIV,2025-05-05 12:16:46 UTC
129,28309,0.170374220381009,174,PGA,2025-05-05 12:16:46 UTC
130,10158,0.168576749934243,204,EURO,2025-05-05 12:16:46 UTC
131,18628,0.163219085757609,102,PGA,2025-05-05 12:16:46 UTC
132,16333,0.162083593828395,117,PGA,2025-05-05 12:16:46 UTC
