season,course_name,course_key,event_id,event_name,latitude,longitude,start_date
2025,Royal Queensland GC,royal queensland gc,2025100,BMW Australian PGA Championship,-27.439,153.092,2024-11-21
2025,Kingston Heath GC,kingston heath gc,2025101,ISPS Handa Australian Open,-37.955,145.086,2024-11-28
2025,Gary Player CC,gary player cc,2025102,Nedbank Golf Challenge,-25.339,27.106,2024-12-05
2025,Leopard Creek CC,leopard creek cc,2025103,Alfred Dunhill Championship,-25.442,31.535,2024-12-12
2025,Mont Choisy Le Golf,mont choisy le golf,2025104,AfrAsia Bank Mauritius Open,-20.024,57.565,2024-12-19
2025,Emirates GC,emirates gc,2025106,Hero Dubai Desert Classic,25.263,55.297,2025-01-16
2025,Al Hamra GC,al hamra gc,2025107,Ras Al Khaimah Championship,25.69,55.777,2025-01-23
2025,Royal GC,royal golf club,2025108,Bapco Energies Bahrain Championship,26.092,50.566,2025-01-30
2025,Doha GC,doha gc,2025142,Commercial Bank Qatar Masters,25.384,51.507,2025-02-06
2025,Muthaiga GC,muthaiga gc,2025109,Magical Kenya Open,-1.259,36.837,2025-02-20
2025,Durban CC,durban country club,2025110,Investec South African Open Championship,-29.828,31.034,2025-02-27
2025,Houghton GC,houghton gc,2025111,Joburg Open,-26.164,28.07,2025-03-06
2025,Laguna National Golf Resort Club,laguna national g&cc classic course,2025112,Porsche Singapore Classic,1.323,103.963,2025-03-20
2025,DLF G&CC,dlf g&cc player course,2025113,Hero Indian Open,28.455,77.106,2025-03-27
2025,Enhance Anting GC,enhance anting gc,2025115,Volvo China Open,31.27,121.187,2025-04-17
2025,"Blackstone Course, Mission Hills Resort Haikou",blackstone course mission hills,2025139,Hainan Classic,19.91,110.322,2025-04-24
2025,Regnum Carya,regnum carya golf & spa resort,2025140,Turkish Airlines Open,36.863,31.004,2025-05-08
2025,Rinkven International GC,rinkven international gc,TBD,Soudal Open,51.281,4.576,2025-05-22
2025,Gut Altentann GC,gut altentann gc,TBD,Austrian Alpine Open presented by SalzburgerLand,47.892,13.201,2025-05-29
2025,The International,international,TBD,KLM Open,52.328,4.803,2025-06-05
2025,Argentario GC,argentario gc,TBD,Italian Open,42.419,11.182,2025-06-26
2025,Golfclub München Eichenried,golfclub münchen eichenried,TBD,BMW International Open,48.276,11.775,2025-07-03
2025,Furesø Golf Klub,furesø golf klub,TBD,Danish Golf Championship,55.832,12.412,2025-08-14
2025,The Belfry,brabazon course at the belfry,TBD,Betfred British Masters hosted by Sir Nick Faldo,52.554,-1.734,2025-08-21
2025,Crans-sur-Sierre GC,crans-sur-sierre gc,TBD,Omega European Masters,46.304,7.468,2025-08-28
2025,The K Club,k club,TBD,Amgen Irish Open,53.307,-6.625,2025-09-04
2025,Wentworth Club,wentworth golf club,TBD,BMW PGA Championship,51.397,-0.596,2025-09-11
2025,Golf de Saint-Nom-La-Bretèche,golf de saint-nom-la-bretèche,TBD,FedEx Open de France,48.852,2.037,2025-09-18
2025,Old Course St. Andrews,old course st andrews,TBD,Alfred Dunhill Links Championship,56.343,-2.803,2025-10-02
2025,Club de Campo Villa de Madrid,club de campo villa de madrid,TBD,acciona Open de España presented by Madrid,40.452,-3.753,2025-10-09
2025,TBC,tbc,TBD,Genesis Championship,0.0,0.0,2025-10-23
2025,Yas Links,yas links,TBD,Abu Dhabi Championship,24.5,54.6,2025-11-06
2025,Jumeirah Golf Estates,jumeirah golf estates,TBD,DP World Tour Championship,25.014,55.184,2025-11-13
