season,course_name,course_key,event_id,event_name,latitude,longitude,start_date
2025,The Ocean Club Golf Course at Atlantis,097,124,The Bahamas Golf Classic at Atlantis Paradise Island,25.081,-77.299,2025-01-12
2025,The Abaco Club on Winding Bay,800,125,The Bahamas Great Abaco Classic at The Abaco Club,26.3,-77.021,2025-01-19
2025,Club de Golf de Panama,659,84,The Panama Championship,9.084,-79.474,2025-01-30
2025,Country Club de Bogota-Lagos;Country Club de Bogota-Pacos,735;809,104,Astara Golf Championship presented by Mastercard,4.71,-74.042,2025-02-06
2025,Jockey Club,107,170,118 Visa Argentina Open presented by Macro,-34.486,-58.533,2025-02-27
2025,Prince of Wales Country Club,776,107,Astara Chile Classic presented by Scotiabank,-33.434,-70.566,2025-03-06
2025,The Landings Golf & Athletic Club,805,128,Club Car Championship at The Landings Golf & Athletic Club,31.93,-81.058,2025-04-03
2025,Lakewood National Golf Club,807,129,LECOM Suncoast Classic,27.437,-82.361,2025-04-16
2025,Texas Rangers Golf Club,060,137,Veritex Bank Championship,32.777,-97.103,2025-04-24
2025,PGA Riviera Maya,098,171,Tulum Championship at PGA Riviera Maya,20.375,-87.34,2025-05-01
2025,Blue Hills Country Club,810,100,AdventHealth Championship,38.899,-94.602,2025-05-15
2025,Holston Hills Country Club,063,11,Visit Knoxville Open,35.995,-83.841,2025-05-22
2025,Raleigh Country Club,087,48,UNC Health Championship presented by STITCH,35.776,-78.593,2025-05-29
2025,Thornblade Club;Carolina Country Club,678;680,37,BMW Charity Pro-Am presented by TD SYNNEX,34.869,-82.265,2025-06-05
2025,Crestview Country Club,641,23,Blue Cross and Blue Shield of Kansas Wichita Open,37.702,-97.187,2025-06-19
2025,Panther Creek Country Club,055,122,Memorial Health Championship presented by LRS,39.729,-89.712,2025-06-26
2025,TPC Colorado,090,130,The Ascendant presented by Blue,40.333,-105.104,2025-07-10
2025,Highland Springs Country Club,022,22,Price Cutter Charity Championship presented by Hiland Dairy Foods,37.113,-93.218,2025-07-17
2025,The Glen Club,082,131,NV5 Invitational,42.09,-87.828,2025-07-24
2025,Ogden Golf & Country Club,099,26,Utah Championship presented by Zions Bank and InterMountain Health,41.186,-111.974,2025-07-31
2025,The Club at Indian Creek,801,123,Pinnacle Bank Championship presented by Woodhouse,41.295,-96.23,2025-08-07
2025,Hillcrest Country Club,027,27,Albertsons Boise Open presented by Chevron,43.586,-116.24,2025-08-14
2025,Vanderbilt Legends Club,093,120,Simmons Bank Open for the Snedeker Foundation,35.95,-86.843,2025-09-11
2025,Ohio State University Golf Club - Scarlet Course,676,94,Nationwide Children's Hospital Championship,40.032,-83.053,2025-09-18
2025,The Patriot Golf Club,096,166,Compliance Solutions Championship,36.239,-95.773,2025-10-02
2025,French Lick Golf Resort - Pete Dye Course,091,45,Korn Ferry Tour Championship presented by United Leasing & Finance,38.572,-86.64,2025-10-09
