season,course_name,course_key,event_id,event_name,latitude,longitude,start_date
2025,Riyadh Golf Club,27,39,Riyadh,24.959,46.576,2025-02-07
2025,The Grange Golf Club,12,40,Adelaide,-34.888,138.5,2025-02-14
2025,Hong Kong Golf Club,20,41,Hong Kong,22.496,114.121,2025-03-07
2025,Sentosa Golf Club,13,42,Singapore,1.244,103.829,2025-03-14
2025,Trump National Doral,21,43,Miami,25.813,-80.339,2025-04-04
2025,Club de Golf Chapultepec,28,44,Mexico City,19.43,-99.244,2025-04-25
2025,Jack Nicklaus Golf Course,29,45,Korea,37.38,126.624,2025-05-02
2025,Robert Trent Jones Golf Club,30,46,DC,38.776,-77.639,2025-06-06
2025,Maridoe Golf Club,26,47,Dallas,32.962,-96.871,2025-06-27
2025,Real Club Valderrama,16,48,Andalucia,36.283,-5.327,2025-07-11
2025,JCB Golf and Country Club,24,49,United Kingdom,52.946,-1.858,2025-07-25
2025,Bolingbrook Golf Club,25,50,Chicago,41.666,-88.149,2025-08-08
2025,The Club at Chatham Hills,31,51,Indianapolis,40.082,-86.139,2025-08-15
