season,course_name,course_key,event_id,event_name,latitude,longitude,start_date
2025,Plantation Course at Kapalua,656,16,The Sentry,21.001,-156.654,2025-01-02
2025,Waialae Country Club,006,6,Sony Open in Hawaii,21.272,-157.775,2025-01-09
2025,Pete Dye Stadium Course;La Quinta Country Club;Nicklaus Tournament Course,704;202;233,2,The American Express,33.643,-116.267,2025-01-16
2025,Torrey Pines Golf Course (South Course);Torrey Pines Golf Course (North Course),004;104,4,Farmers Insurance Open,32.905,-117.245,2025-01-22
2025,Pebble Beach Golf Links;Spyglass Hill Golf Course,005;205,5,AT&T Pebble Beach Pro-Am,36.569,-121.951,2025-01-30
2025,TPC Scottsdale (Stadium Course),510,3,WM Phoenix Open,33.64,-111.91,2025-02-06
2025,Torrey Pines Golf Course (South Course),004,7,The Genesis Invitational,32.905,-117.245,2025-02-13
2025,VidantaWorld,978,540,Mexico Open at VidantaWorld,20.7,-105.3,2025-02-20
2025,PGA National Resort (The Champion Course),928,10,Cognizant Classic in The Palm Beaches,26.829,-80.141,2025-02-27
2025,Arnold Palmer's Bay Hill Club & Lodge,009,9,Arnold Palmer Invitational presented by Mastercard,28.458,-81.511,2025-03-06
2025,Grand Reserve Golf Club,742,483,Puerto Rico Open,18.405,-65.799,2025-03-06
2025,TPC Sawgrass (THE PLAYERS Stadium Course),011,11,THE PLAYERS Championship,30.198,-81.394,2025-03-13
2025,Innisbrook Resort (Copperhead Course),665,475,Valspar Championship,28.11,-82.76,2025-03-20
2025,Memorial Park Golf Course,897,20,Texas Children's Houston Open,29.924,-95.261,2025-03-27
2025,TPC San Antonio (Oaks Course),770,41,Valero Texas Open,29.665,-98.4,2025-04-03
2025,Augusta National Golf Club,014,14,Masters Tournament,33.5,-82.02,2025-04-10
2025,Harbour Town Golf Links,012,12,RBC Heritage,32.136,-80.81,2025-04-17
2025,Puntacana Resort & Club (Corales Golf Course),244,522,Corales Puntacana Championship,18.565,-68.34,2025-04-17
2025,TPC Louisiana,714,18,Zurich Classic of New Orleans,29.902,-90.19,2025-04-24
2025,TPC Craig Ranch,921,19,THE CJ CUP Byron Nelson,33.14,-96.72,2025-05-01
2025,The Philadelphia Cricket Club (Wissahickon Course),379,480,Truist Championship,40.109,-75.224,2025-05-08
2025,Dunes Golf and Beach Club,925,553,ONEflight Myrtle Beach Classic,33.758,-78.796,2025-05-08
2025,Quail Hollow Club,241,33,PGA Championship,35.116,-80.842,2025-05-15
2025,Colonial Country Club,021,21,Charles Schwab Challenge,32.717,-97.373,2025-05-22
2025,Muirfield Village Golf Club,023,23,the Memorial Tournament presented by Workday,40.141,-83.141,2025-05-29
2025,TPC Toronto at Osprey Valley (North Course),935,32,RBC Canadian Open,43.849,-80.043,2025-06-05
2025,Oakmont Country Club,608,26,U.S. Open,40.526,-79.827,2025-06-12
2025,TPC River Highlands,503,34,Travelers Championship,41.632,-72.639,2025-06-19
2025,Detroit Golf Club,876,524,Rocket Mortgage Classic,42.426,-83.126,2025-06-26
2025,TPC Deere Run,669,30,John Deere Classic,41.478,-90.392,2025-07-03
2025,Hurstbourne Country Club (Championship Course),934,518,ISCO Championship,38.24,-85.591,2025-07-10
2025,The Renaissance Club,977,541,Genesis Scottish Open,56.051,-2.809,2025-07-10
2025,Royal Portrush Golf Club,885,100,The Open Championship,55.2,-6.636,2025-07-17
2025,Tahoe Mountain Club (Old Greenwood),931,472,Barracuda Championship,39.345,-120.143,2025-07-17
2025,TPC Twin Cities,883,525,3M Open,45.177,-93.213,2025-07-24
2025,Sedgefield Country Club,752,13,Wyndham Championship,36.014,-79.887,2025-07-31
2025,TPC Southwind,513,27,FedEx St. Jude Championship,35.057,-89.779,2025-08-07
2025,Caves Valley Golf Club,882,28,BMW Championship,39.452,-76.744,2025-08-14
2025,East Lake Golf Club,933,60,TOUR Championship,33.743,-84.303,2025-08-21
2025,Silverado Resort (North Course),926,464,Procore Championship,38.349,-122.264,2025-09-11
2025,TBD,,468,Ryder Cup,,,2025-09-25
2025,The Country Club of Jackson,746,54,Sanderson Farms Championship,32.397,-90.098,2025-10-02
2025,Yokohama Country Club,936,527,Baycurrent Classic,35.446,139.549,2025-10-09
2025,Black Desert Resort,930,554,Black Desert Championship,37.168,-113.653,2025-10-23
2025,El Cardonal at Diamante,919,457,World Wide Technology Championship,22.901,-109.985,2025-11-06
2025,Port Royal Golf Course,765,528,Butterfield Bermuda Championship,32.261,-64.874,2025-11-13
2025,Sea Island Golf Club (Seaside Course);Sea Island Golf Club (Plantation Course),776;889,493,The RSM Classic,31.202,-81.332,2025-11-20
2025,Albany GC,232,478,Hero World Challenge,25.004,-77.509,2025-12-04
