dg_id,driving_accuracy,driving_distance,sg_approach,sg_around_green,sg_off_the_tee,sg_putting,sg_total,last_updated
18417,0.075,5.974,1.331,0.252,0.856,0.434,2.873,2025-05-05 17:26:31 UTC
19841,0.005,26.758,0.381,0.237,1.556,0.308,2.482,2025-05-05 17:26:31 UTC
10091,-0.02,21.053,0.839,0.209,0.886,0.342,2.276,2025-05-05 17:26:31 UTC
19195,0.039,14.731,0.525,0.436,1.046,0.18,2.187,2025-05-05 17:26:31 UTC
22085,0.1,-0.737,0.98,0.127,0.627,0.131,1.865,2025-05-05 17:26:31 UTC
18079,-0.002,17.198,0.636,0.092,0.863,0.168,1.76,2025-05-05 17:26:31 UTC
14139,-0.023,7.739,0.776,0.387,0.13,0.328,1.621,2025-05-05 17:26:31 UTC
15466,0.015,6.636,0.715,0.113,0.539,0.178,1.545,2025-05-05 17:26:31 UTC
12294,0.065,-0.367,0.782,0.286,0.421,0.046,1.534,2025-05-05 17:26:31 UTC
14796,0.023,4.238,0.624,0.225,0.434,0.225,1.508,2025-05-05 17:26:31 UTC
14578,0.085,-8.57,0.613,0.272,0.173,0.363,1.421,2025-05-05 17:26:31 UTC
17576,0.07,0.58,0.644,0.078,0.592,0.087,1.402,2025-05-05 17:26:31 UTC
23950,0.008,13.173,0.457,0.038,0.702,0.159,1.356,2025-05-05 17:26:31 UTC
19895,-0.025,9.256,0.778,0.168,0.164,0.223,1.333,2025-05-05 17:26:31 UTC
13562,-0.01,3.189,0.671,0.381,0.181,0.068,1.301,2025-05-05 17:26:31 UTC
17606,0.08,-1.496,0.508,0.181,0.44,0.145,1.274,2025-05-05 17:26:31 UTC
13900,0.039,-0.325,0.62,0.213,0.276,0.063,1.172,2025-05-05 17:26:31 UTC
14636,0.027,6.385,0.325,0.154,0.475,0.192,1.145,2025-05-05 17:26:31 UTC
18634,0.003,4.612,0.364,0.121,0.318,0.334,1.138,2025-05-05 17:26:31 UTC
27364,0.022,6.894,0.48,0.21,0.478,-0.034,1.133,2025-05-05 17:26:31 UTC
18554,0.11,-8.97,0.491,0.138,0.4,0.057,1.087,2025-05-05 17:26:31 UTC
23323,0.023,3.49,0.42,0.12,0.451,0.086,1.077,2025-05-05 17:26:31 UTC
17511,0.07,-2.951,0.829,-0.099,0.293,0.051,1.075,2025-05-05 17:26:31 UTC
18841,0.015,6.294,0.66,-0.137,0.333,0.205,1.061,2025-05-05 17:26:31 UTC
13872,0.033,5.717,0.603,0.142,0.448,-0.137,1.056,2025-05-05 17:26:31 UTC
14838,0.026,-3.979,0.307,0.335,0.132,0.269,1.044,2025-05-05 17:26:31 UTC
23475,0.004,0.759,0.318,0.297,0.188,0.206,1.009,2025-05-05 17:26:31 UTC
17488,0.06,-1.457,-0.054,0.38,0.304,0.36,0.99,2025-05-05 17:26:31 UTC
17064,-0.014,7.593,-0.125,0.187,0.501,0.411,0.975,2025-05-05 17:26:31 UTC
17536,0.022,3.669,0.564,-0.026,0.377,0.059,0.974,2025-05-05 17:26:31 UTC
14609,0.069,-2.393,0.491,0.167,0.368,-0.059,0.967,2025-05-05 17:26:31 UTC
14735,0.009,5.356,0.221,0.131,0.447,0.165,0.965,2025-05-05 17:26:31 UTC
28984,-0.042,15.975,0.068,-0.087,0.693,0.269,0.943,2025-05-05 17:26:31 UTC
16841,-0.063,15.015,-0.003,0.337,0.171,0.421,0.926,2025-05-05 17:26:31 UTC
20770,0.074,-1.766,0.363,0.043,0.522,-0.006,0.922,2025-05-05 17:26:31 UTC
19870,0.023,-4.441,0.206,0.163,-0.058,0.611,0.922,2025-05-05 17:26:31 UTC
9771,-0.003,0.971,0.134,0.265,0.105,0.413,0.917,2025-05-05 17:26:31 UTC
23841,0.033,3.767,0.436,0.034,0.466,-0.019,0.916,2025-05-05 17:26:31 UTC
17543,-0.011,2.063,0.511,0.142,0.123,0.118,0.894,2025-05-05 17:26:31 UTC
17780,0.002,11.04,0.429,-0.195,0.596,0.043,0.872,2025-05-05 17:26:31 UTC
17365,-0.006,11.062,0.42,0.001,0.53,-0.09,0.86,2025-05-05 17:26:31 UTC
10419,0.024,-4.697,0.401,0.195,0.041,0.186,0.824,2025-05-05 17:26:31 UTC
19483,-0.01,7.568,-0.14,0.124,0.13,0.699,0.814,2025-05-05 17:26:31 UTC
24968,0.013,0.33,0.392,0.155,0.122,0.143,0.812,2025-05-05 17:26:31 UTC
26096,0.03,-2.252,0.389,-0.015,0.073,0.359,0.806,2025-05-05 17:26:31 UTC
21554,0.038,-4.813,0.314,0.2,0.077,0.198,0.789,2025-05-05 17:26:31 UTC
11676,0.007,6.427,0.39,0.136,0.356,-0.11,0.771,2025-05-05 17:26:31 UTC
19428,-0.003,5.528,0.584,0.018,0.288,-0.127,0.763,2025-05-05 17:26:31 UTC
14502,0.007,0.434,0.32,0.123,0.165,0.135,0.743,2025-05-05 17:26:31 UTC
15556,-0.016,1.353,0.087,0.322,-0.066,0.387,0.73,2025-05-05 17:26:31 UTC
8825,0.055,-6.897,0.338,0.157,0.051,0.16,0.706,2025-05-05 17:26:31 UTC
14459,-0.054,11.519,0.209,0.171,0.318,0.001,0.699,2025-05-05 17:26:31 UTC
15856,-0.067,1.182,-0.083,0.493,-0.31,0.6,0.699,2025-05-05 17:26:31 UTC
17881,0.018,8.862,0.459,-0.101,0.594,-0.266,0.687,2025-05-05 17:26:31 UTC
14424,-0.067,18.077,0.191,0.11,0.484,-0.102,0.684,2025-05-05 17:26:31 UTC
23604,-0.047,11.3,0.071,0.192,0.145,0.275,0.683,2025-05-05 17:26:31 UTC
29433,-0.014,0.712,0.029,0.125,0.051,0.472,0.677,2025-05-05 17:26:31 UTC
13412,0.013,2.568,0.219,0.077,0.219,0.133,0.649,2025-05-05 17:26:31 UTC
16243,-0.013,6.998,0.372,0.026,0.304,-0.059,0.643,2025-05-05 17:26:31 UTC
6093,0.021,0.161,0.332,0.056,0.147,0.066,0.602,2025-05-05 17:26:31 UTC
7399,0.09,-8.466,0.497,0.028,0.179,-0.11,0.594,2025-05-05 17:26:31 UTC
14577,0.017,1.13,0.019,0.112,0.083,0.376,0.59,2025-05-05 17:26:31 UTC
28635,0.047,-4.662,0.14,0.091,0.17,0.185,0.586,2025-05-05 17:26:31 UTC
21944,-0.009,7.625,-0.037,0.189,0.301,0.132,0.585,2025-05-05 17:26:31 UTC
11276,0.002,-0.068,0.207,0.103,0.07,0.205,0.585,2025-05-05 17:26:31 UTC
25569,0.006,4.7,0.023,0.109,0.22,0.23,0.582,2025-05-05 17:26:31 UTC
23014,-0.027,5.332,0.221,0.145,0.012,0.203,0.582,2025-05-05 17:26:31 UTC
5689,0.063,2.323,-0.032,0.065,0.583,-0.046,0.57,2025-05-05 17:26:31 UTC
26745,-0.017,9.34,0.139,0.0,0.54,-0.11,0.569,2025-05-05 17:26:31 UTC
24550,0.05,-0.976,0.468,0.059,0.359,-0.321,0.565,2025-05-05 17:26:31 UTC
22322,0.023,9.129,-0.276,0.042,0.73,0.033,0.53,2025-05-05 17:26:31 UTC
24766,0.04,1.462,0.373,0.0,0.147,0.006,0.526,2025-05-05 17:26:31 UTC
29767,0.015,-0.473,0.21,0.086,0.105,0.117,0.518,2025-05-05 17:26:31 UTC
14795,0.04,4.17,0.182,-0.101,0.642,-0.218,0.505,2025-05-05 17:26:31 UTC
27194,-0.036,0.88,0.041,0.25,-0.226,0.438,0.502,2025-05-05 17:26:31 UTC
18586,0.046,0.869,0.126,-0.12,0.41,0.081,0.497,2025-05-05 17:26:31 UTC
21891,-0.026,10.823,0.257,0.066,0.381,-0.208,0.495,2025-05-05 17:26:31 UTC
21756,-0.022,-0.817,0.272,0.182,-0.191,0.225,0.488,2025-05-05 17:26:31 UTC
23504,0.049,4.493,0.303,-0.029,0.554,-0.342,0.486,2025-05-05 17:26:31 UTC
13126,0.043,-6.739,0.334,0.083,0.046,0.01,0.473,2025-05-05 17:26:31 UTC
18474,0.02,3.575,0.055,0.098,0.26,0.053,0.466,2025-05-05 17:26:31 UTC
17646,0.012,1.229,0.015,0.091,0.16,0.191,0.458,2025-05-05 17:26:31 UTC
23838,-0.062,15.357,0.138,-0.046,0.16,0.204,0.456,2025-05-05 17:26:31 UTC
27774,-0.066,16.06,0.019,0.038,0.436,-0.042,0.45,2025-05-05 17:26:31 UTC
32330,0.014,9.373,0.155,-0.212,0.535,-0.029,0.449,2025-05-05 17:26:31 UTC
16394,-0.049,5.865,0.261,0.187,-0.162,0.161,0.447,2025-05-05 17:26:31 UTC
23505,0.053,-3.494,0.296,-0.01,0.255,-0.097,0.445,2025-05-05 17:26:31 UTC
22760,0.027,-3.0,0.144,0.033,0.111,0.153,0.441,2025-05-05 17:26:31 UTC
15575,0.015,-4.345,0.541,-0.073,-0.167,0.14,0.441,2025-05-05 17:26:31 UTC
25157,0.05,-1.258,0.318,-0.076,0.175,0.023,0.44,2025-05-05 17:26:31 UTC
16283,-0.015,4.511,-0.072,0.228,0.026,0.255,0.438,2025-05-05 17:26:31 UTC
26653,0.048,1.45,0.179,-0.207,0.429,0.017,0.419,2025-05-05 17:26:31 UTC
15676,-0.044,20.2,-0.186,-0.276,0.693,0.176,0.407,2025-05-05 17:26:31 UTC
23602,-0.047,12.345,0.266,-0.131,0.269,0.0,0.404,2025-05-05 17:26:31 UTC
14509,0.066,-4.608,0.434,-0.073,0.303,-0.275,0.39,2025-05-05 17:26:31 UTC
10104,0.029,-0.235,0.132,0.144,0.141,-0.028,0.39,2025-05-05 17:26:31 UTC
6430,-0.031,5.918,0.2,0.08,0.076,0.026,0.383,2025-05-05 17:26:31 UTC
18580,0.05,-4.991,0.235,0.055,-0.005,0.077,0.362,2025-05-05 17:26:31 UTC
14181,-0.025,6.22,-0.047,-0.01,0.177,0.24,0.361,2025-05-05 17:26:31 UTC
11657,0.051,-7.469,0.567,-0.137,-0.037,-0.047,0.347,2025-05-05 17:26:31 UTC
23465,-0.054,8.54,-0.162,0.109,-0.095,0.492,0.344,2025-05-05 17:26:31 UTC
19729,0.096,-10.731,-0.098,0.048,0.264,0.127,0.34,2025-05-05 17:26:31 UTC
21074,0.018,-0.591,0.065,0.009,0.229,0.026,0.33,2025-05-05 17:26:31 UTC
25908,-0.062,6.129,-0.163,0.107,-0.026,0.412,0.33,2025-05-05 17:26:31 UTC
20706,-0.017,3.952,0.116,0.299,0.06,-0.152,0.323,2025-05-05 17:26:31 UTC
19396,-0.063,11.101,0.047,-0.067,0.15,0.184,0.315,2025-05-05 17:26:31 UTC
26649,-0.031,12.703,0.071,-0.074,0.347,-0.03,0.313,2025-05-05 17:26:31 UTC
28309,-0.02,10.245,-0.155,-0.101,0.39,0.176,0.31,2025-05-05 17:26:31 UTC
12423,0.019,-0.76,0.204,0.088,0.199,-0.186,0.306,2025-05-05 17:26:31 UTC
7398,-0.013,-2.635,0.034,0.128,-0.213,0.353,0.302,2025-05-05 17:26:31 UTC
13944,-0.043,5.596,0.106,0.032,0.113,0.044,0.295,2025-05-05 17:26:31 UTC
7672,0.064,-7.851,0.134,0.03,0.069,0.048,0.281,2025-05-05 17:26:31 UTC
