season_id,faceoffWinPct,gamesPlayed,goalsAgainst,goalsAgainstPerGame,goalsFor,goalsForPerGame,losses,otLosses,penaltyKillNetPct,penaltyKillPct,pointPct,points,powerPlayNetPct,powerPlayPct,regulationAndOtWins,seasonId,shotsAgainstPerGame,shotsForPerGame,teamId,ties,wins,winsInRegulation,winsInShootout
20242025,0.44756,82,292,3.56097,224,2.7317,46,11,0.819383,0.792952,0.37195,61,0.21164,0.248677,23,20242025,31.10975,24.45121,16,,25,20,2
20242025,0.488603,82,251,3.06097,233,2.84146,30,14,0.84375,0.825893,0.54878,90,0.193693,0.225225,35,20242025,26.80487,25.53658,23,,38,28,3
20242025,0.508149,87,279,3.20689,255,2.93103,35,11,0.84074,0.807408,0.53448,93,0.184738,0.208835,39,20242025,28.97701,25.7931,8,,41,31,2
20242025,0.516148,89,252,2.83146,277,3.11235,34,8,0.76415,0.745284,0.57303,102,0.199095,0.221719,43,20242025,27.30337,26.42696,19,,47,35,4
20242025,0.516932,82,271,3.30487,222,2.70731,39,10,0.788135,0.762712,0.46341,76,0.095652,0.152173,33,20242025,28.60975,26.51219,6,,33,26,0
20242025,0.480641,82,310,3.78048,208,2.53658,50,12,0.761718,0.742188,0.31707,52,0.150442,0.18584,18,20242025,31.78048,26.86585,28,,20,14,2
20242025,0.499223,82,283,3.45121,232,2.82926,39,10,0.796019,0.77612,0.46341,76,0.102803,0.149532,27,20242025,26.95121,26.96341,4,,33,21,6
20242025,0.500193,92,256,2.7826,311,3.38043,27,9,0.838951,0.808989,0.6576,121,0.200803,0.228915,54,20242025,27.45652,27.17391,15,,56,47,2
20242025,0.485609,82,262,3.19512,245,2.9878,41,6,0.787564,0.772021,0.46341,76,0.171806,0.189427,33,20242025,28.56097,27.35365,55,,35,28,2
20242025,0.489738,82,259,3.15853,235,2.86585,35,8,0.711956,0.701087,0.52439,86,0.240506,0.270042,36,20242025,28.4878,27.41463,17,,39,30,3
20242025,0.467524,88,254,2.88636,244,2.77272,34,7,0.746606,0.723982,0.57386,101,0.182648,0.210045,44,20242025,29.78409,27.45454,30,,47,35,3
20242025,0.541548,95,271,2.85263,303,3.18947,32,4,0.80586,0.783883,0.6421,122,0.207843,0.243137,58,20242025,29.12631,27.58947,10,,59,45,1
20242025,0.446417,82,261,3.18292,217,2.64634,37,10,0.754032,0.741936,0.4878,80,0.090497,0.117647,31,20242025,32.29268,27.68292,24,,35,24,4
20242025,0.478296,82,287,3.5,265,3.2317,39,7,0.804979,0.763486,0.4817,79,0.152838,0.187772,32,20242025,28.87804,27.78048,7,,36,29,4
20242025,0.520723,96,263,2.73958,315,3.28125,31,6,0.854014,0.824818,0.64583,124,0.21843,0.238907,57,20242025,29.39583,27.875,25,,59,47,2
20242025,0.499179,87,239,2.74712,251,2.88505,37,7,0.844262,0.815574,0.53448,93,0.242424,0.264069,41,20242025,26.94252,28.13793,1,,43,36,2
20242025,0.501191,87,235,2.70114,304,3.49425,31,8,0.86036,0.810811,0.5977,104,0.196,0.248,46,20242025,28.03448,28.1954,14,,48,42,2
20242025,0.507266,88,230,2.61363,273,3.10227,29,9,0.82,0.804,0.61931,109,0.171806,0.198237,49,20242025,26.15909,28.20454,26,,50,45,1
20242025,0.490414,95,230,2.42105,310,3.26315,29,4,0.800829,0.784233,0.67368,128,0.256704,0.27203,60,20242025,26.65263,28.21052,52,,62,48,2
20242025,0.527669,82,287,3.5,242,2.95121,36,12,0.800925,0.777778,0.4878,80,0.235294,0.257918,33,20242025,30.13414,28.34146,5,,34,24,1
20242025,0.515686,82,247,3.01219,240,2.92682,31,13,0.808764,0.792829,0.54268,89,0.207627,0.241525,37,20242025,27.70731,28.54878,59,,38,30,1
20242025,0.535706,82,255,3.10975,255,3.10975,36,7,0.878661,0.803348,0.51829,85,0.142857,0.17619,38,20242025,29.89024,28.58536,3,,39,35,1
20242025,0.524225,88,251,2.85227,258,2.93181,34,7,0.813008,0.768293,0.57386,101,0.225352,0.235915,46,20242025,28.375,28.94318,9,,47,36,1
20242025,0.477787,82,267,3.25609,267,3.25609,33,9,0.811059,0.769586,0.54268,89,0.156756,0.194594,34,20242025,29.91463,29.04878,29,,40,30,6
20242025,0.512694,82,274,3.34146,212,2.58536,44,8,0.81893,0.814815,0.41463,68,0.197368,0.219298,28,20242025,28.56097,29.30487,18,,30,24,2
20242025,0.462442,82,236,2.87804,220,2.68292,27,14,0.792035,0.761062,0.58536,96,0.184549,0.2103,36,20242025,28.91463,29.43902,20,,41,31,5
20242025,0.549049,82,257,3.13414,222,2.70731,35,12,0.772222,0.722223,0.5,82,0.086956,0.125603,33,20242025,28.7317,29.4878,2,,35,28,2
20242025,0.503505,93,249,2.67741,302,3.24731,28,10,0.80829,0.76684,0.64516,120,0.261467,0.279816,54,20242025,26.27956,30.05376,54,,55,49,1
20242025,0.474152,89,252,2.83146,297,3.33707,33,4,0.818181,0.787879,0.60674,108,0.210937,0.238281,48,20242025,25.97752,30.24719,21,,52,43,4
20242025,0.488133,96,254,2.64583,301,3.13541,35,4,0.861591,0.82007,0.61458,118,0.205673,0.241134,51,20242025,25.86458,31.0,13,,57,46,6
20242025,0.524946,94,258,2.74468,302,3.21276,34,5,0.874551,0.835126,0.6117,115,0.178947,0.196491,55,20242025,24.73404,31.70212,12,,55,48,0
20242025,0.506746,94,275,2.92553,305,3.24468,33,5,0.777777,0.757202,0.62234,117,0.22314,0.239669,56,20242025,27.0,32.02127,22,,56,41,0
20232024,0.490405,82,326,3.9756,180,2.19512,54,9,0.765873,0.753969,0.28658,47,0.163461,0.201923,18,20232024,35.13414,25.2317,28,,19,14,1
20232024,0.462608,82,289,3.52439,178,2.17073,53,6,0.770562,0.757576,0.31707,52,0.131914,0.165957,22,20232024,32.69512,26.25609,16,,23,17,1
20232024,0.465549,86,267,3.10465,223,2.59302,35,11,0.791164,0.779117,0.52906,91,0.171428,0.2,36,20232024,30.31395,26.43023,15,,40,32,4
20232024,0.466475,82,293,3.57317,203,2.4756,50,5,0.760606,0.724243,0.35975,59,0.157446,0.178723,26,20232024,32.51219,26.75609,24,,27,21,1
20232024,0.522783,95,257,2.70526,312,3.28421,29,9,0.817567,0.793919,0.64736,123,0.19178,0.215753,57,20232024,28.37894,27.34736,23,,57,50,0
20232024,0.514563,82,281,3.42682,232,2.82926,36,16,0.789855,0.764493,0.46341,76,0.126984,0.174603,26,20232024,33.39024,27.67073,8,,30,20,4
20232024,0.450821,82,274,3.34146,254,3.09756,41,5,0.789473,0.763158,0.46951,77,0.190871,0.219917,34,20232024,31.68292,27.71951,53,,36,28,2
20232024,0.475171,82,232,2.82926,214,2.60975,35,13,0.815315,0.788289,0.4939,81,0.169421,0.206611,31,20232024,29.15853,28.62195,55,,34,28,3
20232024,0.490785,95,252,2.65263,294,3.09473,27,15,0.851735,0.829653,0.63684,121,0.195652,0.221014,49,20232024,30.75789,28.65263,6,,53,41,4
20232024,0.499003,82,248,3.02439,234,2.85365,33,6,0.84186,0.790698,0.56097,92,0.152,0.18,38,20232024,32.14634,28.90243,19,,43,31,5
20232024,0.505829,82,273,3.32926,275,3.35365,32,9,0.825,0.795834,0.55487,91,0.194139,0.230769,38,20232024,32.40243,28.96341,17,,41,27,3
20232024,0.515833,87,287,3.29885,302,3.47126,33,8,0.854251,0.82996,0.57471,100,0.253731,0.27985,43,20232024,29.77011,29.14942,14,,46,38,3
20232024,0.511749,87,277,3.1839,257,2.95402,31,16,0.754237,0.711865,0.55172,96,0.194214,0.206611,39,20232024,32.81609,29.95402,2,,40,29,1
